Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,37,33,4,0.13,,7.7,68.5
2016-2018,0,21,-21,-0.04,-3.6,63.0,45.5
2017-2019,-9,34,-43,1.3,-4.2,63.0,63.9
2018-2020,-2,30,-32,-0.1,-1.1,63.0,75.1
2019-2021,78,60,18,-0.32,0.6,62.7,110.8
2020-2022,49,9,41,-0.66,1.6,71.7,102.1
2021-2023,66,20,46,0.89,66.0,71.7,118.4
2022-2024,74,20,53,0.87,84.1,71.7,180.0
2023-2025,45,15,30,0.86,67.2,70.8,164.2
