Date,rate_MA_5D,rate_VOO_20D
2015-01,-3.2595,-3.5197
2015-02,6.3974,1.8044
2015-03,-0.1751,-0.4337
2015-04,3.734,0.3137
2015-05,5.1716,1.1277
2015-06,5.3945,-1.1499
2015-07,8.9293,0.7758
2015-08,2.3362,-5.4229
2015-09,-0.2722,-7.1738
2015-10,9.4547,1.0672
2015-11,7.4179,1.2476
2015-12,6.0497,-0.572
2016-01,-2.5867,-4.925
2016-02,-4.7267,-4.8231
2016-03,3.6155,1.7982
2016-04,6.2741,1.9719
2016-05,4.7986,3.5419
2016-06,-4.1094,3.6524
2016-07,3.9585,7.2416
2016-08,5.2664,7.0197
2016-09,10.5367,6.6568
2016-10,15.887,4.4599
2016-11,10.0975,8.0958
2016-12,10.7145,9.9999
2017-01,13.7261,11.4564
2017-02,17.4779,15.2492
2017-03,18.8987,14.8019
2017-04,22.4331,15.441
2017-05,28.5113,16.5118
2017-06,26.0765,16.6668
2017-07,31.9233,18.4843
2017-08,36.5011,18.2445
2017-09,43.3354,20.0845
2017-10,49.8467,22.2583
2017-11,50.1205,25.3046
2017-12,49.5931,26.2059
2018-01,65.7448,32.449
2018-02,60.8962,26.7739
2018-03,58.7789,23.0189
2018-04,60.2992,22.8575
2018-05,69.3692,25.2441
2018-06,73.2758,25.5573
2018-07,73.0231,29.3514
2018-08,86.4895,32.7978
2018-09,90.6158,32.8363
2018-10,67.7764,23.2702
2018-11,69.2077,25.0563
2018-12,57.3452,13.5319
2019-01,75.0616,22.1943
2019-02,84.7565,25.7013
2019-03,91.7169,27.5721
2019-04,105.3866,32.1369
2019-05,101.2654,23.323
2019-06,109.6486,31.3236
2019-07,113.976,32.644
2019-08,119.0031,29.9311
2019-09,109.3963,31.9602
2019-10,111.7754,34.2575
2019-11,121.5677,38.4965
2019-12,124.3808,41.933
2020-01,135.5653,41.1927
2020-02,114.3697,29.1327
2020-03,82.4523,15.0941
2020-04,106.6462,29.6087
2020-05,124.3722,35.3017
2020-06,118.6752,37.2398
2020-07,126.5801,44.6817
2020-08,160.8637,54.038
2020-09,144.1178,47.5315
2020-10,106.8599,43.1102
2020-11,139.1519,57.9789
2020-12,151.6276,63.0361
2021-01,121.4513,60.507
2021-02,145.8206,64.0387
2021-03,145.3877,70.5941
2021-04,161.4815,78.6176
2021-05,144.9122,78.7807
2021-06,146.0631,81.7862
2021-07,158.438,85.165
2021-08,130.2558,89.5209
2021-09,129.6029,79.652
2021-10,120.3018,91.2215
2021-11,105.4071,88.7203
2021-12,132.8238,96.1753
2022-01,148.9688,84.8382
2022-02,130.9048,78.356
2022-03,127.2747,84.1718
2022-04,129.9231,67.1269
2022-05,123.1843,69.9248
2022-06,97.4438,50.6444
2022-07,117.9502,63.8565
2022-08,98.673,56.4409
2022-09,73.374,41.6257
2022-10,99.3398,52.5015
2022-11,115.3114,60.3073
2022-12,108.9,50.5328
2023-01,121.7359,59.4277
2023-02,111.4423,54.8564
2023-03,115.0606,60.006
2023-04,124.0323,61.9344
2023-05,114.0126,62.0896
2023-06,129.3459,71.9711
2023-07,128.9933,76.904
2023-08,138.3395,73.3179
2023-09,127.4134,64.4308
2023-10,117.2109,60.2637
2023-11,133.3326,74.3036
2023-12,139.2074,81.5558
2024-01,150.9901,83.6948
2024-02,163.7917,92.4418
2024-03,166.0823,97.8859
2024-04,148.3321,89.1612
2024-05,144.7498,97.7957
2024-06,140.2654,103.9456
2024-07,151.6241,105.3805
2024-08,160.9171,105.1825
2024-09,165.1645,108.7418
2024-10,166.3963,105.866
2024-11,173.7647,111.6911
2024-12,169.073,104.7706
2025-01,178.2253,105.8612
2025-02,181.1654,102.4101
2025-03,174.2055,92.6645
2025-04,141.6579,73.1455
