Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,84,1,83,-0.0,9.8,82.3,4.3
2022-2024,208,21,188,-0.02,26.0,82.3,14.5
2023-2025,326,64,262,0.04,39.9,80.4,20.8
