Date,rate_SO_5D,rate_VOO_20D
2015-01,-3.1652,-3.5197
2015-02,-7.6968,1.8044
2015-03,-7.8608,-0.4337
2015-04,-6.4952,0.3137
2015-05,-5.8057,1.1277
2015-06,-8.9258,-1.1499
2015-07,-1.969,0.7758
2015-08,-3.6973,-5.4229
2015-09,-0.8749,-7.1738
2015-10,0.152,1.0672
2015-11,-0.0495,1.2476
2015-12,4.8417,-0.572
2016-01,9.1689,-4.925
2016-02,7.944,-4.8231
2016-03,15.1334,1.7982
2016-04,10.6191,1.9719
2016-05,9.7302,3.5419
2016-06,18.4267,3.6524
2016-07,17.1771,7.2416
2016-08,12.9792,7.0197
2016-09,12.1426,6.6568
2016-10,12.1975,4.4599
2016-11,2.6563,8.0958
2016-12,7.6889,9.9999
2017-01,7.9096,11.4564
2017-02,11.9325,15.2492
2017-03,9.2618,14.8019
2017-04,8.9434,15.441
2017-05,11.6773,16.5118
2017-06,5.2662,16.6668
2017-07,5.1957,18.4843
2017-08,6.9744,18.2445
2017-09,8.6449,20.0845
2017-10,15.0625,22.2583
2017-11,13.6921,25.3046
2017-12,6.4077,26.2059
2018-01,-0.1413,32.449
2018-02,-3.3888,26.7739
2018-03,0.2203,23.0189
2018-04,3.5036,22.8575
2018-05,2.093,25.2441
2018-06,5.2719,25.5573
2018-07,10.3356,29.3514
2018-08,0.4368,32.7978
2018-09,-0.027,32.8363
2018-10,3.2498,23.2702
2018-11,9.8446,25.0563
2018-12,1.7342,13.5319
2019-01,12.424,22.1943
2019-02,16.1061,25.7013
2019-03,20.376,27.5721
2019-04,23.5017,32.1369
2019-05,25.1555,23.323
2019-06,28.791,31.3236
2019-07,30.3612,32.644
2019-08,36.0146,29.9311
2019-09,43.4937,31.9602
2019-10,44.8015,34.2575
2019-11,43.9473,38.4965
2019-12,47.1483,41.933
2020-01,61.8063,41.1927
2020-02,39.148,29.1327
2020-03,30.5193,15.0941
2020-04,36.4544,29.6087
2020-05,38.3898,35.3017
2020-06,25.1918,37.2398
2020-07,31.4159,44.6817
2020-08,26.6152,54.038
2020-09,31.1433,47.5315
2020-10,38.4717,43.1102
2020-11,45.0409,57.9789
2020-12,48.1933,63.0361
2021-01,41.513,60.507
2021-02,37.0939,64.0387
2021-03,49.6264,70.5941
2021-04,58.5781,78.6176
2021-05,54.0395,78.7807
2021-06,45.3129,81.7862
2021-07,52.6855,85.165
2021-08,58.0371,89.5209
2021-09,48.4023,79.652
2021-10,48.6205,91.2215
2021-11,46.6704,88.7203
2021-12,63.9263,96.1753
2022-01,65.3492,84.8382
2022-02,55.0651,78.356
2022-03,72.8145,84.1718
2022-04,73.5467,67.1269
2022-05,74.9559,69.9248
2022-06,64.121,50.6444
2022-07,76.1748,63.8565
2022-08,77.3113,56.4409
2022-09,64.779,41.6257
2022-10,62.7896,52.5015
2022-11,69.2505,60.3073
2022-12,77.9218,50.5328
2023-01,67.8652,59.4277
2023-02,57.3953,54.8564
2023-03,72.9917,60.006
2023-04,82.0997,61.9344
2023-05,73.5991,62.0896
2023-06,74.0724,71.9711
2023-07,78.4925,76.904
2023-08,68.1516,73.3179
2023-09,60.0685,64.4308
2023-10,65.8248,60.2637
2023-11,75.9791,74.3036
2023-12,73.1469,81.5558
2024-01,70.9829,83.6948
2024-02,66.5094,92.4418
2024-03,76.9901,97.8859
2024-04,73.8551,89.1612
2024-05,90.5635,97.7957
2024-06,83.7185,103.9456
2024-07,96.9685,105.3805
2024-08,104.5413,105.1825
2024-09,112.529,108.7418
2024-10,110.5802,105.866
2024-11,109.6012,111.6911
2024-12,92.7602,104.7706
2025-01,95.7991,105.8612
2025-02,110.3498,102.4101
2025-03,111.1705,92.6645
2025-04,98.407,73.1455
