Date,rate_NVDA_5D,rate_VOO_20D
2015-01,-7.4833,-3.5197
2015-02,7.5703,1.8044
2015-03,-0.4167,-0.4337
2015-04,4.1092,0.3137
2015-05,3.0908,1.1277
2015-06,-6.9291,-1.1499
2015-07,-6.8474,0.7758
2015-08,0.6963,-5.4229
2015-09,8.6327,-7.1738
2015-10,24.2781,1.0672
2015-11,36.2629,1.2476
2015-12,38.4604,-0.572
2016-01,21.362,-4.925
2016-02,28.8437,-4.8231
2016-03,44.2164,1.7982
2016-04,41.1611,1.9719
2016-05,82.0799,3.5419
2016-06,78.8916,3.6524
2016-07,112.0093,7.2416
2016-08,122.4391,7.0197
2016-09,141.9595,6.6568
2016-10,144.8684,4.4599
2016-11,210.0475,8.0958
2016-12,248.7638,9.9999
2017-01,246.7535,11.4564
2017-02,214.0401,15.2492
2017-03,228.8303,14.8019
2017-04,207.2987,15.441
2017-05,316.0457,16.5118
2017-06,306.4249,16.6668
2017-07,345.7209,18.4843
2017-08,354.057,18.2445
2017-09,368.038,20.0845
2017-10,429.1495,22.2583
2017-11,402.3029,25.3046
2017-12,373.8152,26.2059
2018-01,489.2685,32.449
2018-02,422.9473,26.7739
2018-03,390.2661,23.0189
2018-04,366.849,22.8575
2018-05,413.9815,25.2441
2018-06,373.7191,25.5573
2018-07,380.695,29.3514
2018-08,441.5273,32.7978
2018-09,432.5394,32.8363
2018-10,292.5718,23.2702
2018-11,199.8722,25.0563
2018-12,141.5507,13.5319
2019-01,156.9947,22.1943
2019-02,172.6749,25.7013
2019-03,213.4878,27.5721
2019-04,211.9038,32.1369
2019-05,131.2193,23.323
2019-06,177.1095,31.3236
2019-07,181.4058,32.644
2019-08,176.4717,29.9311
2019-09,184.1642,31.9602
2019-10,224.4357,34.2575
2019-11,246.0061,38.4965
2019-12,271.1903,41.933
2020-01,268.5389,41.1927
2020-02,316.163,29.1327
2020-03,287.5337,15.0941
2020-04,324.9748,29.6087
2020-05,410.1325,35.3017
2020-06,439.4873,37.2398
2020-07,495.5704,44.6817
2020-08,641.2896,54.038
2020-09,640.9212,47.5315
2020-10,577.9775,43.1102
2020-11,616.1416,57.9789
2020-12,589.5865,63.0361
2021-01,578.1712,60.507
2021-02,607.8064,64.0387
2021-03,581.3843,70.5941
2021-04,657.639,78.6176
2021-05,710.8469,78.7807
2021-06,887.5647,81.7862
2021-07,851.8724,85.165
2021-08,980.7869,89.5209
2021-09,889.1271,79.652
2021-10,1107.4452,91.2215
2021-11,1426.1164,88.7203
2021-12,1258.8104,96.1753
2022-01,1019.478,84.8382
2022-02,1003.0705,78.356
2022-03,1121.754,84.1718
2022-04,721.9078,67.1269
2022-05,750.6974,69.9248
2022-06,549.2742,50.6444
2022-07,670.7208,63.8565
2022-08,534.4826,56.4409
2022-09,413.8763,41.6257
2022-10,452.9797,52.5015
2022-11,587.5944,60.3073
2022-12,488.533,50.5328
2023-01,680.0077,59.4277
2023-02,818.64,54.8564
2023-03,989.381,60.006
2023-04,978.498,61.9344
2023-05,1357.2372,62.0896
2023-06,1514.7032,71.9711
2023-07,1667.4949,76.904
2023-08,1750.0653,73.3179
2023-09,1516.1474,64.4308
2023-10,1426.822,60.2637
2023-11,1531.3937,74.3036
2023-12,1612.6139,81.5558
2024-01,2009.4972,83.6948
2024-02,2589.0965,92.4418
2024-03,2944.9849,97.8859
2024-04,2789.7178,89.1612
2024-05,3535.6122,97.7957
2024-06,3962.4237,103.9456
2024-07,3715.7147,105.3805
2024-08,3501.9946,105.1825
2024-09,3534.5713,108.7418
2024-10,3829.1025,105.866
2024-11,3700.2065,111.6911
2024-12,3331.8313,104.7706
2025-01,2800.1277,105.8612
2025-02,2632.0423,102.4101
2025-03,2304.9065,92.6645
2025-04,2192.1378,73.1455
