Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2018-2020,64,36,28,-0.09,1.4,76.9,64.8
2019-2021,28,49,-22,-0.02,-1.2,76.9,48.2
2020-2022,-48,7,-55,-0.09,-4.7,76.9,16.2
2021-2023,-69,20,-89,-0.64,-7.6,72.2,38.7
2022-2024,76,27,49,-0.87,4.0,72.4,92.1
2023-2025,147,51,96,-0.05,19.4,75.2,143.0
