Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2017-2019,8,8,0,-0.0,-0.0,71.1,1.9
2018-2020,-195,24,-219,-0.01,-3.4,78.3,5.0
2019-2021,2443,47,2396,0.0,36.9,82.9,69.1
2020-2022,956,-1,957,0.01,284.1,82.9,33.3
2021-2023,884,1,883,0.04,263.8,82.9,42.2
2022-2024,-66,21,-86,0.04,-140.7,80.9,94.7
2023-2025,866,65,801,0.1,1507.4,80.9,120.9
