Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-13,5,-18,0.86,-0.0,41.3,13.4
2021-2023,-9,18,-27,0.74,-0.0,20.4,13.0
2022-2024,32,29,2,0.69,0.0,20.4,21.5
2023-2025,101,75,26,0.72,0.0,17.3,30.6
