Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,-2,29,-31,-11.84,,2.0,1.3
2016-2018,-54,18,-72,0.06,,58.7,0.7
2017-2019,32,29,3,-0.3,,58.7,1.8
2018-2020,424,20,404,0.3,34.8,58.7,8.3
2019-2021,132,48,84,0.39,7.2,63.5,3.0
2020-2022,-84,2,-87,0.42,-34.8,70.4,1.9
2021-2023,-380,18,-398,-0.92,-27.3,70.4,2.7
2022-2024,72,25,46,-1.08,3.1,73.1,4.8
2023-2025,68,46,22,0.04,1.4,73.1,5.6
