Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-96,-10,-86,0.03,-4.7,25.9,1
2021-2023,-24,23,-48,0.03,-3.1,45.4,4
2022-2024,92,38,54,0.03,8.0,45.4,5
