Date,rate_BA_5D,rate_VOO_20D
2015-01,6.3335,-3.5197
2015-02,8.3314,1.8044
2015-03,5.842,-0.4337
2015-04,-1.0372,0.3137
2015-05,-2.5448,1.1277
2015-06,-3.7304,-1.1499
2015-07,0.1305,0.7758
2015-08,-8.8664,-5.4229
2015-09,-7.9799,-7.1738
2015-10,4.5417,1.0672
2015-11,2.9061,1.2476
2015-12,1.9318,-0.572
2016-01,-14.1885,-4.925
2016-02,-14.2981,-4.8231
2016-03,-7.1329,1.7982
2016-04,-1.2223,1.9719
2016-05,-6.7063,3.5419
2016-06,-3.8803,3.6524
2016-07,-0.9168,7.2416
2016-08,-3.1981,7.0197
2016-09,-1.451,6.6568
2016-10,6.562,4.4599
2016-11,13.1764,8.0958
2016-12,16.3986,9.9999
2017-01,21.2134,11.4564
2017-02,33.8868,15.2492
2017-03,30.1683,14.8019
2017-04,34.8506,15.441
2017-05,36.7811,16.5118
2017-06,42.8754,16.6668
2017-07,73.2551,18.4843
2017-08,70.1195,18.2445
2017-09,78.1207,20.0845
2017-10,78.4515,22.2583
2017-11,89.9337,25.3046
2017-12,99.8126,26.2059
2018-01,136.7251,32.449
2018-02,124.2955,26.7739
2018-03,100.4752,23.0189
2018-04,101.3046,22.8575
2018-05,110.9491,25.2441
2018-06,98.4876,25.5573
2018-07,108.3037,29.3514
2018-08,99.0847,32.7978
2018-09,113.5761,32.8363
2018-10,101.4655,23.2702
2018-11,95.6571,25.0563
2018-12,80.0971,13.5319
2019-01,113.3155,22.1943
2019-02,141.9949,25.7013
2019-03,107.7114,27.5721
2019-04,103.5609,32.1369
2019-05,83.436,23.323
2019-06,93.792,31.3236
2019-07,80.1248,32.644
2019-08,91.9495,29.9311
2019-09,98.932,31.9602
2019-10,76.4647,34.2575
2019-11,89.59,38.4965
2019-12,67.5698,41.933
2020-01,62.5777,41.1927
2020-02,40.5557,29.1327
2020-03,-23.3433,15.0941
2020-04,-26.9512,29.6087
2020-05,-23.9407,35.3017
2020-06,-4.0764,37.2398
2020-07,-17.0385,44.6817
2020-08,-9.9167,54.038
2020-09,-13.2241,47.5315
2020-10,-24.031,43.1102
2020-11,10.9176,57.9789
2020-12,12.5072,63.0361
2021-01,2.0542,60.507
2021-02,11.1311,64.0387
2021-03,33.2239,70.5941
2021-04,22.2693,78.6176
2021-05,28.5801,78.7807
2021-06,24.322,81.7862
2021-07,17.2918,85.165
2021-08,13.4764,89.5209
2021-09,13.5405,79.652
2021-10,6.701,91.2215
2021-11,1.7897,88.7203
2021-12,3.4815,96.1753
2022-01,2.8432,84.8382
2022-02,5.3518,78.356
2022-03,-1.7214,84.1718
2022-04,-23.5605,67.1269
2022-05,-32.1047,69.9248
2022-06,-28.9917,50.6444
2022-07,-16.9441,63.8565
2022-08,-16.3402,56.4409
2022-09,-36.3764,41.6257
2022-10,-24.1667,52.5015
2022-11,-4.5334,60.3073
2022-12,1.6415,50.5328
2023-01,13.4702,59.4277
2023-02,7.2968,54.8564
2023-03,12.934,60.006
2023-04,9.7876,61.9344
2023-05,9.1335,62.0896
2023-06,11.921,71.9711
2023-07,26.4083,76.904
2023-08,18.3362,73.3179
2023-09,1.2557,64.4308
2023-10,-1.3512,60.2637
2023-11,22.2948,74.3036
2023-12,37.2678,81.5558
2024-01,11.0364,83.6948
2024-02,7.0973,92.4418
2024-03,1.4128,97.8859
2024-04,-11.7866,89.1612
2024-05,-6.5733,97.7957
2024-06,-4.2571,103.9456
2024-07,0.2676,105.3805
2024-08,-12.4356,105.1825
2024-09,-23.1918,108.7418
2024-10,-24.3929,105.866
2024-11,-21.1095,111.6911
2024-12,-9.9862,104.7706
2025-01,-12.2264,105.8612
2025-02,-12.6066,102.4101
2025-03,-14.2107,92.6645
2025-04,-26.6387,73.1455
