Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,24,25,-2,0.09,-0.1,67.3,107.5
2016-2018,14,18,-4,0.02,-0.2,75.5,89.7
2017-2019,15,26,-11,-0.11,-2.0,75.5,126.2
2018-2020,-15,11,-26,0.12,-4.1,99.9,95.7
2019-2021,19,29,-10,1.24,-3.0,99.9,115.2
2020-2022,-13,-5,-8,1.7,-2.3,99.9,135.1
2021-2023,-21,11,-32,0.76,-15.3,99.9,112.7
2022-2024,-20,24,-44,0.61,-10.9,99.1,154.9
2023-2025,13,39,-26,0.62,-6.1,99.1,217.4
