Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,-25,28,-52,-0.05,-3.0,70.2,3.9
2016-2018,-19,15,-34,-0.03,-2.5,70.2,3.8
2017-2019,-25,22,-47,-0.13,-3.5,68.7,4.3
2018-2020,78,24,55,-0.23,11.1,80.4,11.7
2019-2021,122,47,75,-0.57,15.1,80.4,16.3
2020-2022,-16,-1,-15,-0.16,-2.6,80.4,4.2
2021-2023,-1,2,-3,1.45,-0.6,80.0,18.9
2022-2024,716,21,695,1.49,155.7,81.1,86.9
2023-2025,530,63,467,2.26,181.9,83.2,59.9
