Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-3,9,-12,1.16,,24.1,39.6
2017-2019,9,25,-16,1.04,-0.0,27.3,39.8
2018-2020,31,24,7,0.68,0.0,27.3,51.2
2019-2021,40,64,-25,0.62,-0.0,27.3,66.9
2020-2022,72,5,68,0.57,0.3,25.7,76.5
2021-2023,61,18,43,0.6,0.5,24.4,93.1
2022-2024,-1,29,-30,0.59,-0.4,40.5,75.5
2023-2025,-17,75,-92,0.61,-0.3,57.2,81.8
