Date,rate_MRK_5D,rate_VOO_20D
2015-01,-4.1156,-3.5197
2015-02,-4.5639,1.8044
2015-03,-4.2842,-0.4337
2015-04,0.1708,0.3137
2015-05,2.2022,1.1277
2015-06,-3.7593,-1.1499
2015-07,-0.1346,0.7758
2015-08,-8.8395,-5.4229
2015-09,-14.9228,-7.1738
2015-10,-4.7605,1.0672
2015-11,-7.3501,1.2476
2015-12,-6.3966,-0.572
2016-01,-9.7474,-4.925
2016-02,-9.8356,-4.8231
2016-03,-3.7415,1.7982
2016-04,-0.1271,1.9719
2016-05,2.4248,3.5419
2016-06,5.5716,3.6524
2016-07,7.1569,7.2416
2016-08,13.8919,7.0197
2016-09,13.3057,6.6568
2016-10,5.9489,4.4599
2016-11,9.7571,8.0958
2016-12,5.9487,9.9999
2017-01,11.201,11.4564
2017-02,17.6879,15.2492
2017-03,13.8343,14.8019
2017-04,11.2703,15.441
2017-05,15.8184,16.5118
2017-06,14.3141,16.6668
2017-07,13.4979,18.4843
2017-08,13.0371,18.2445
2017-09,13.7561,20.0845
2017-10,-2.0554,22.2583
2017-11,-1.7174,25.3046
2017-12,0.9155,26.2059
2018-01,6.2199,32.449
2018-02,-2.7207,26.7739
2018-03,-1.3976,23.0189
2018-04,6.6468,22.8575
2018-05,7.6352,25.2441
2018-06,10.3619,25.5573
2018-07,19.4372,29.3514
2018-08,23.9206,32.7978
2018-09,28.414,32.8363
2018-10,32.5647,23.2702
2018-11,42.1581,25.0563
2018-12,37.0267,13.5319
2019-01,32.7503,22.1943
2019-02,44.2083,25.7013
2019-03,47.6484,27.5721
2019-04,38.9739,32.1369
2019-05,39.1208,23.323
2019-06,47.4567,31.3236
2019-07,45.0378,32.644
2019-08,50.2677,29.9311
2019-09,46.3988,31.9602
2019-10,49.9022,34.2575
2019-11,49.9909,38.4965
2019-12,56.68,41.933
2020-01,46.431,41.1927
2020-02,30.8885,29.1327
2020-03,21.9258,15.0941
2020-04,25.4948,29.6087
2020-05,27.2691,35.3017
2020-06,22.5163,37.2398
2020-07,26.7587,44.6817
2020-08,34.2396,54.038
2020-09,31.088,47.5315
2020-10,18.7291,43.1102
2020-11,26.3035,57.9789
2020-12,29.1366,63.0361
2021-01,21.3087,60.507
2021-02,14.0764,64.0387
2021-03,21.9417,70.5941
2021-04,17.5635,78.6176
2021-05,19.456,78.7807
2021-06,29.0505,81.7862
2021-07,27.1883,85.165
2021-08,25.8736,89.5209
2021-09,24.7509,79.652
2021-10,45.7703,91.2215
2021-11,23.5588,88.7203
2021-12,27.3005,96.1753
2022-01,34.9905,84.8382
2022-02,26.4876,78.356
2022-03,36.3941,84.1718
2022-04,46.9626,67.1269
2022-05,51.9235,69.9248
2022-06,46.4698,50.6444
2022-07,43.0178,63.8565
2022-08,36.1828,56.4409
2022-09,38.0773,41.6257
2022-10,61.7537,52.5015
2022-11,75.3145,60.3073
2022-12,77.0158,50.5328
2023-01,70.6412,59.4277
2023-02,68.0473,54.8564
2023-03,68.7167,60.006
2023-04,82.3455,61.9344
2023-05,73.5594,62.0896
2023-06,81.8356,71.9711
2023-07,67.3448,76.904
2023-08,70.3415,73.3179
2023-09,61.3704,64.4308
2023-10,60.3961,60.2637
2023-11,59.4886,74.3036
2023-12,70.2948,81.5558
2024-01,87.9113,83.6948
2024-02,96.9399,92.4418
2024-03,104.767,97.8859
2024-04,94.3321,89.1612
2024-05,87.9946,97.7957
2024-06,85.7007,103.9456
2024-07,68.9969,105.3805
2024-08,76.3155,105.1825
2024-09,69.5535,108.7418
2024-10,52.2711,105.866
2024-11,50.8427,111.6911
2024-12,48.4094,104.7706
2025-01,47.0296,105.8612
2025-02,36.9015,102.4101
2025-03,33.6547,92.6645
2025-04,28.2923,73.1455
