Date,rate_NEE_5D,rate_VOO_20D
2015-01,-0.7742,-3.5197
2015-02,-5.4657,1.8044
2015-03,-3.5602,-0.4337
2015-04,-5.9792,0.3137
2015-05,-3.2317,1.1277
2015-06,-7.0838,-1.1499
2015-07,0.2983,0.7758
2015-08,-3.862,-5.4229
2015-09,-4.8062,-7.1738
2015-10,0.6895,1.0672
2015-11,-1.1913,1.2476
2015-12,2.6982,-0.572
2016-01,10.1989,-4.925
2016-02,11.3308,-4.8231
2016-03,15.7615,1.7982
2016-04,14.1353,1.9719
2016-05,16.5461,3.5419
2016-06,25.5401,3.6524
2016-07,22.2545,7.2416
2016-08,15.3002,7.0197
2016-09,15.5466,6.6568
2016-10,20.0965,4.4599
2016-11,7.2961,8.0958
2016-12,11.9257,9.9999
2017-01,15.4436,11.4564
2017-02,22.5747,15.2492
2017-03,19.3498,14.8019
2017-04,23.3655,15.441
2017-05,30.7308,16.5118
2017-06,28.5219,16.6668
2017-07,32.9655,18.4843
2017-08,36.8233,18.2445
2017-09,32.2475,20.0845
2017-10,38.8748,22.2583
2017-11,41.3398,25.3046
2017-12,38.5778,26.2059
2018-01,39.573,32.449
2018-02,28.5449,26.7739
2018-03,37.188,23.0189
2018-04,36.7669,22.8575
2018-05,37.4957,25.2441
2018-06,38.5977,25.5573
2018-07,38.1534,29.3514
2018-08,40.2613,32.7978
2018-09,37.2713,32.8363
2018-10,40.3965,23.2702
2018-11,47.8984,25.0563
2018-12,40.5249,13.5319
2019-01,43.8321,22.1943
2019-02,50.9569,25.7013
2019-03,54.4423,27.5721
2019-04,54.3096,32.1369
2019-05,57.2647,23.323
2019-06,61.4407,31.3236
2019-07,62.0942,32.644
2019-08,71.1544,29.9311
2019-09,80.6511,31.9602
2019-10,83.3987,34.2575
2019-11,79.5476,38.4965
2019-12,84.6105,41.933
2020-01,102.905,41.1927
2020-02,90.692,29.1327
2020-03,88.1982,15.0941
2020-04,79.7241,29.6087
2020-05,97.3471,35.3017
2020-06,85.097,37.2398
2020-07,114.764,44.6817
2020-08,113.0087,54.038
2020-09,110.0038,47.5315
2020-10,119.8919,43.1102
2020-11,120.3044,57.9789
2020-12,129.2071,63.0361
2021-01,138.4748,60.507
2021-02,116.2537,64.0387
2021-03,120.8839,70.5941
2021-04,124.8148,78.6176
2021-05,110.9133,78.7807
2021-06,110.7951,81.7862
2021-07,122.5878,85.165
2021-08,139.4243,89.5209
2021-09,122.3223,79.652
2021-10,139.9326,91.2215
2021-11,143.3788,88.7203
2021-12,159.9773,96.1753
2022-01,116.1751,84.8382
2022-02,116.4762,78.356
2022-03,132.8594,84.1718
2022-04,93.9744,67.1269
2022-05,106.7633,69.9248
2022-06,98.623,50.6444
2022-07,115.4256,63.8565
2022-08,116.6587,56.4409
2022-09,104.1286,41.6257
2022-10,104.1751,52.5015
2022-11,123.0726,60.3073
2022-12,118.9179,50.5328
2023-01,94.3285,59.4277
2023-02,85.2153,54.8564
2023-03,100.0163,60.006
2023-04,97.8647,61.9344
2023-05,89.9497,62.0896
2023-06,90.9669,71.9711
2023-07,87.7724,76.904
2023-08,71.605,73.3179
2023-09,46.5912,64.4308
2023-10,48.7778,60.2637
2023-11,50.0649,74.3036
2023-12,55.2915,81.5558
2024-01,49.3925,83.6948
2024-02,41.4731,92.4418
2024-03,63.3876,97.8859
2024-04,63.789,89.1612
2024-05,95.0014,97.7957
2024-06,73.0374,103.9456
2024-07,85.8861,105.3805
2024-08,96.372,105.1825
2024-09,105.3092,108.7418
2024-10,91.5288,105.866
2024-11,93.279,111.6911
2024-12,75.4425,104.7706
2025-01,67.1478,105.8612
2025-02,64.7156,102.4101
2025-03,64.1612,92.6645
2025-04,49.2029,73.1455
