Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2018-2020,-78,21,-98,1.23,1.4,55.5,0.0
2019-2021,723,43,680,1.46,1.5,56.5,0.0
2020-2022,101,-2,103,1.67,2.1,83.4,0.0
2021-2023,-12,1,-13,1.76,1.8,83.4,0.0
2022-2024,-62,19,-82,1.64,1.5,72.0,0.0
2023-2025,134,62,72,1.16,1.5,60.7,0.0
