Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-31,-11,-20,-0.05,,79.7,0.7
2021-2023,-267,1,-269,-0.03,-19.7,79.7,1.5
2022-2024,82,21,61,-0.03,4.0,79.7,4.2
2023-2025,24,61,-37,0.0,-1.7,73.6,3.5
