Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,99,29,70,0.02,10.8,8.1,15.1
2016-2018,13,18,-5,0.02,-1.6,58.0,9.1
2017-2019,-44,29,-74,-0.04,-1.4,58.0,8.6
2018-2020,101,20,81,0.62,1.5,62.9,17.4
2019-2021,268,48,220,0.64,4.0,62.9,27.6
2020-2022,239,2,237,0.77,111.6,75.6,25.6
2021-2023,-53,18,-71,0.58,-106.6,77.5,17.0
2022-2024,-200,25,-225,0.69,-325.0,77.5,10.2
2023-2025,-340,39,-379,2.81,-67.0,77.5,7.0
