Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,-2,16,-17,0.04,,76.0,26.5
2022-2024,20,26,-6,0.03,-0.8,76.0,15.0
2023-2025,17,13,4,-0.07,0.5,76.0,13.7
