Year,CAGR,CAGR_VOO,MDD,Alpha,Beta,Cap(B)
2015-2017,-45.22,38.4,58.81,-83.62,0.95,1.32
2016-2018,-2.85,32.3,52.31,-35.15,1.29,2.44
2017-2019,147.05,51.71,34.2,95.34,1.59,3.1
2018-2020,1071.96,47.36,64.03,1024.6,1.47,15.56
2019-2021,212.39,100.04,66.55,112.35,1.55,7.69
2020-2022,69.33,23.6,80.5,45.73,1.67,5.39
2021-2023,-71.95,34.96,89.49,-106.91,2.3,4.4
2022-2024,-71.78,28.44,75.4,-100.22,2.09,2.22
