Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-39,4,-42,1.61,,52.5,9.6
2017-2019,-55,17,-73,1.62,-0.1,52.5,16.4
2018-2020,-50,21,-71,1.5,-0.0,52.5,14.3
2019-2021,6,43,-38,1.53,-0.0,35.7,16.9
2020-2022,-47,-2,-46,1.44,-0.0,42.3,8.2
2021-2023,2,1,1,1.4,0.0,42.3,13.6
2022-2024,14,19,-5,1.44,-0.0,37.6,15.4
2023-2025,189,62,127,1.7,0.2,30.8,59.0
