Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2020-2022,-56,-5,-51,-0.01,,70.8,15.1
2021-2023,-193,11,-204,-0.02,-19.4,70.8,40.4
2022-2024,123,24,99,-0.02,8.0,70.6,177.8
2023-2025,259,39,220,-0.02,17.0,70.6,429.1
