Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,0,28,-29,0.05,-2.9,22.3,16.1
2016-2018,27,18,9,0.23,0.9,22.3,20.9
2017-2019,43,30,13,0.8,1.5,22.3,25.6
2018-2020,99,27,72,0.31,0.4,20.5,39.4
2019-2021,161,71,90,0.24,0.5,20.5,61.7
2020-2022,64,9,55,0.25,0.3,20.5,46.4
2021-2023,202,23,178,0.74,327.7,17.6,98.0
2022-2024,186,33,153,0.74,286.1,17.6,120.9
2023-2025,233,46,187,0.75,399.1,8.3,124.6
