Date,Open,High,Low,Close,Volume,Dividend,MRI,MRI_Signal,RSI_14,bb_upper_ta,bb_middle_ta,bb_lower_ta,AROOND_25,AROONU_25,AROONOSC_25,MFI_14,SMA_5,SMA_10,SMA_20,STOCHk_20_10_3,STOCHd_20_10_3,STOCHk_14_3_3,STOCHd_14_3_3,ppo,ppo_signal,ppo_histogram,Stock,Market Cap
2025-12-16,10010.0,10030.0,9985.0,10020.0,560623,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0138Y0.KS,NaN
2025-12-17,10040.0,10102.0,10035.0,10100.0,418171,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0637,0.0127,0.0509,0138Y0.KS,NaN
2025-12-18,10095.0,10100.0,10060.0,10100.0,305413,0.0,0.7,Hold,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1127,0.0327,0.08,0138Y0.KS,NaN
2025-12-19,10105.0,10105.0,10050.0,10070.0,304275,0.0,0.8,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.126,0.0514,0.0746,0138Y0.KS,NaN
2025-12-22,10080.0,10180.0,10075.0,10155.0,423613,0.0,0.8,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10089.0,NaN,NaN,NaN,NaN,NaN,NaN,0.2024,0.0816,0.1208,0138Y0.KS,NaN
2025-12-23,10245.0,10300.0,10235.0,10280.0,418806,0.0,0.8,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10141.0,NaN,NaN,NaN,NaN,NaN,NaN,0.3588,0.137,0.2217,0138Y0.KS,NaN
2025-12-24,10310.0,10310.0,10195.0,10195.0,451574,0.0,0.9,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10160.0,NaN,NaN,NaN,NaN,NaN,NaN,0.4096,0.1915,0.2181,0138Y0.KS,NaN
2025-12-26,10180.0,10225.0,10125.0,10170.0,409573,0.0,0.9,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10174.0,NaN,NaN,NaN,NaN,NaN,NaN,0.4249,0.2382,0.1867,0138Y0.KS,NaN
2025-12-29,10190.0,10190.0,10105.0,10140.0,364165,2.0,0.9,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10188.0,NaN,NaN,NaN,NaN,NaN,NaN,0.4084,0.2723,0.1361,0138Y0.KS,NaN
2025-12-30,10010.0,10045.0,9950.0,10020.0,396266,0.0,0.9,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10161.0,10125.0,NaN,NaN,NaN,NaN,NaN,0.2961,0.277,0.0191,0138Y0.KS,NaN
2026-01-02,9990.0,10030.0,9965.0,10020.0,348338,0.0,0.8,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10109.0,10125.0,NaN,NaN,NaN,NaN,NaN,0.2048,0.2626,-0.0578,0138Y0.KS,NaN
2026-01-05,10040.0,10120.0,10035.0,10110.0,484735,0.0,0.8,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10092.0,10126.0,NaN,NaN,NaN,NaN,NaN,0.2019,0.2505,-0.0485,0138Y0.KS,NaN
2026-01-06,10135.0,10170.0,10110.0,10160.0,455880,0.0,0.8,Buy,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10090.0,10132.0,NaN,NaN,NaN,NaN,NaN,0.2369,0.2477,-0.0108,0138Y0.KS,NaN
2026-01-07,10175.0,10210.0,10125.0,10130.0,561954,0.0,0.7,Hold,57.333333333333336,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10088.0,10138.0,NaN,NaN,NaN,NaN,NaN,0.2379,0.2458,-0.0079,0138Y0.KS,NaN
2026-01-08,10165.0,10165.0,10080.0,10095.0,354093,0.0,0.7,Hold,54.77707006369427,NaN,NaN,NaN,NaN,NaN,NaN,53.9303,10103.0,10132.0,NaN,NaN,NaN,NaN,NaN,0.2083,0.2383,-0.03,0138Y0.KS,NaN
2026-01-09,10110.0,10215.0,10110.0,10205.0,434625,0.0,0.8,Buy,56.441717791411044,NaN,NaN,NaN,NaN,NaN,NaN,54.0961,10140.0,10124.5,NaN,NaN,NaN,53.7037037037037,NaN,0.2696,0.2445,0.025,0138Y0.KS,NaN
2026-01-12,10245.0,10350.0,10245.0,10340.0,773016,0.0,0.7,Hold,62.63157894736842,NaN,NaN,NaN,NaN,NaN,NaN,57.6713,10186.0,10139.0,NaN,NaN,NaN,69.53703703703704,NaN,0.4205,0.2797,0.1408,0138Y0.KS,NaN
2026-01-13,10365.0,10375.0,10340.0,10350.0,677276,0.0,0.7,Hold,65.05376344086022,NaN,NaN,NaN,NaN,NaN,NaN,64.7684,10224.0,10157.0,NaN,NaN,NaN,87.48366013071897,70.24146695715324,0.5413,0.3321,0.2093,0138Y0.KS,NaN
2026-01-14,10360.0,10435.0,10360.0,10425.0,660796,0.0,0.8,Buy,64.67391304347825,NaN,NaN,NaN,NaN,NaN,NaN,66.081,10283.0,10185.5,NaN,NaN,NaN,96.51859712957348,84.51309809910983,0.688,0.4032,0.2847,0138Y0.KS,NaN
2026-01-15,10355.0,10375.0,10335.0,10375.0,676459,0.0,0.8,Buy,55.62130177514793,10416.4273,10173.0,9929.5727,NaN,NaN,NaN,57.6248,10339.0,10221.0,10173.0,NaN,NaN,93.22821912270062,92.41015879433102,0.7554,0.4737,0.2817,0138Y0.KS,NaN
2026-01-16,10365.0,10375.0,10340.0,10365.0,474460,0.0,0.7,Hold,61.038961038961034,10436.9007,10190.25,9943.5993,NaN,NaN,NaN,57.3903,10371.0,10255.5,10190.25,NaN,NaN,90.37800687285223,93.37494104170878,0.7915,0.5372,0.2543,0138Y0.KS,NaN
2026-01-19,10410.0,10455.0,10410.0,10440.0,730287,0.0,0.7,Hold,66.46341463414635,10473.7769,10207.25,9940.7231,NaN,NaN,NaN,64.8311,10391.0,10288.5,10207.25,90.0752,NaN,90.07519308631895,91.22713969395727,0.8688,0.6035,0.2652,0138Y0.KS,NaN
2026-01-20,10435.0,10485.0,10395.0,10480.0,598419,0.0,0.6,Hold,70.48192771084337,10513.9244,10226.25,9938.5756,NaN,NaN,NaN,70.6969,10417.0,10320.5,10226.25,93.8874,NaN,93.88737794677434,91.44685930198183,0.9499,0.6728,0.2771,0138Y0.KS,NaN
