Date,rate_PM_5D,rate_VOO_20D
2015-01,-6.1973,-3.5197
2015-02,-2.4845,1.8044
2015-03,-9.8208,-0.4337
2015-04,1.12,0.3137
2015-05,0.384,1.1277
2015-06,-2.0656,-1.1499
2015-07,4.5108,0.7758
2015-08,-3.0068,-5.4229
2015-09,-2.0483,-7.1738
2015-10,9.2743,1.0672
2015-11,7.3387,1.2476
2015-12,8.6075,-0.572
2016-01,10.4407,-4.925
2016-02,10.9955,-4.8231
2016-03,19.9054,1.7982
2016-04,18.6195,1.9719
2016-05,18.103,3.5419
2016-06,21.8181,3.6524
2016-07,18.9928,7.2416
2016-08,17.7139,7.0197
2016-09,14.8674,6.6568
2016-10,13.3251,4.4599
2016-11,3.2394,8.0958
2016-12,8.0872,9.9999
2017-01,13.2319,11.4564
2017-02,28.0534,15.2492
2017-03,32.2302,14.8019
2017-04,28.8538,15.441
2017-05,38.0182,16.5118
2017-06,35.2362,16.6668
2017-07,33.2224,18.4843
2017-08,32.4225,18.2445
2017-09,25.9704,20.0845
2017-10,17.9796,22.2583
2017-11,15.3976,25.3046
2017-12,19.3645,26.2059
2018-01,20.6149,32.449
2018-02,11.8875,26.7739
2018-03,8.2373,23.0189
2018-04,-10.8915,22.8575
2018-05,-13.3515,25.2441
2018-06,-10.451,25.5573
2018-07,-4.0277,29.3514
2018-08,-13.2818,32.7978
2018-09,-7.6977,32.8363
2018-10,-0.1503,23.2702
2018-11,-1.9094,25.0563
2018-12,-22.6789,13.5319
2019-01,-10.7257,22.1943
2019-02,1.4136,25.7013
2019-03,4.3581,27.5721
2019-04,2.1572,32.1369
2019-05,-8.987,23.323
2019-06,-5.8071,31.3236
2019-07,0.3964,32.644
2019-08,-13.4674,29.9311
2019-09,-7.1861,31.9602
2019-10,-0.3786,34.2575
2019-11,1.4096,38.4965
2019-12,5.4131,41.933
2020-01,2.3085,41.1927
2020-02,1.13,29.1327
2020-03,-4.6183,15.0941
2020-04,-2.3533,29.6087
2020-05,-3.9214,35.3017
2020-06,-6.738,37.2398
2020-07,2.2815,44.6817
2020-08,6.211,54.038
2020-09,1.2741,47.5315
2020-10,-4.1795,43.1102
2020-11,2.1822,57.9789
2020-12,13.226,63.0361
2021-01,8.8112,60.507
2021-02,14.4893,64.0387
2021-03,22.2722,70.5941
2021-04,30.537,78.6176
2021-05,32.0855,78.7807
2021-06,36.9208,81.7862
2021-07,37.7868,85.165
2021-08,41.3056,89.5209
2021-09,31.1673,79.652
2021-10,30.392,91.2215
2021-11,18.1979,88.7203
2021-12,32.105,96.1753
2022-01,42.5936,84.8382
2022-02,39.5865,78.356
2022-03,31.1525,84.1718
2022-04,39.1976,67.1269
2022-05,41.6632,69.9248
2022-06,28.8444,50.6444
2022-07,26.4473,63.8565
2022-08,23.9877,56.4409
2022-09,13.3826,41.6257
2022-10,21.3477,52.5015
2022-11,31.4384,60.3073
2022-12,34.8109,50.5328
2023-01,38.4444,59.4277
2023-02,28.8519,54.8564
2023-03,30.1954,60.006
2023-04,33.5159,61.9344
2023-05,20.0227,62.0896
2023-06,31.6271,71.9711
2023-07,34.1434,76.904
2023-08,28.937,73.3179
2023-09,25.7469,64.4308
2023-10,16.9693,60.2637
2023-11,20.0611,74.3036
2023-12,22.4605,81.5558
2024-01,18.0414,83.6948
2024-02,16.7172,92.4418
2024-03,20.362,97.8859
2024-04,19.7443,89.1612
2024-05,27.666,97.7957
2024-06,28.9952,103.9456
2024-07,46.2713,105.3805
2024-08,56.1761,105.1825
2024-09,55.0066,108.7418
2024-10,66.3165,105.866
2024-11,66.2229,111.6911
2024-12,51.5293,104.7706
2025-01,63.4565,105.8612
2025-02,94.1668,102.4101
2025-03,93.6634,92.6645
2025-04,82.7898,73.1455
