Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-17,15,-32,1.16,-0.6,72.4,0.0
2017-2019,28,22,6,1.06,0.1,72.4,0.0
2018-2020,137,24,114,1.14,19.0,77.9,0.0
2019-2021,81,47,35,1.24,6.8,77.9,0.0
2020-2022,33,-1,34,1.23,26.2,82.6,0.0
2021-2023,-178,1,-179,1.38,-47.3,82.6,0.0
2022-2024,-105,21,-125,1.22,-30.4,82.6,0.0
2023-2025,-83,66,-149,1.16,-36.4,79.1,0.0
