Date,rate_ENPH_5D,rate_VOO_20D
2015-01,1.7995,-3.5197
2015-02,10.1587,1.8044
2015-03,0.8177,-0.4337
2015-04,-3.9872,0.3137
2015-05,-23.0076,1.1277
2015-06,-36.5667,-1.1499
2015-07,-44.5722,0.7758
2015-08,-50.8897,-5.4229
2015-09,-55.8207,-7.1738
2015-10,-53.9087,1.0672
2015-11,-72.0616,1.2476
2015-12,-33.5443,-0.572
2016-01,-52.3266,-4.925
2016-02,-50.4329,-4.8231
2016-03,-47.5917,1.7982
2016-04,-41.1707,1.9719
2016-05,-49.2229,3.5419
2016-06,-49.2105,3.6524
2016-07,-51.9876,7.2416
2016-08,-48.975,7.0197
2016-09,-63.8747,6.6568
2016-10,-66.8108,4.4599
2016-11,-59.7798,8.0958
2016-12,-61.5592,9.9999
2017-01,-41.5117,11.4564
2017-02,-28.4348,15.2492
2017-03,-44.1577,14.8019
2017-04,-50.1868,15.441
2017-05,-65.9131,16.5118
2017-06,-58.771,16.6668
2017-07,-53.4472,18.4843
2017-08,-52.9288,18.2445
2017-09,-19.9794,20.0845
2017-10,-18.9113,22.2583
2017-11,55.1519,25.3046
2017-12,28.1548,26.2059
2018-01,16.7441,32.449
2018-02,75.5623,26.7739
2018-03,139.0527,23.0189
2018-04,113.8394,22.8575
2018-05,191.1211,25.2441
2018-06,236.6681,25.5573
2018-07,192.768,29.3514
2018-08,137.3396,32.7978
2018-09,132.4263,32.8363
2018-10,114.8788,23.2702
2018-11,152.537,25.0563
2018-12,118.3524,13.5319
2019-01,229.7698,22.1943
2019-02,308.108,25.7013
2019-03,309.2619,27.5721
2019-04,338.6189,32.1369
2019-05,552.6103,23.323
2019-06,671.7421,31.3236
2019-07,1072.9545,32.644
2019-08,1116.3788,29.9311
2019-09,797.0571,31.9602
2019-10,672.1345,34.2575
2019-11,756.5603,38.4965
2019-12,908.5567,41.933
2020-01,1098.695,41.1927
2020-02,1734.838,29.1327
2020-03,1332.7003,15.0941
2020-04,1869.7206,29.6087
2020-05,2312.4666,35.3017
2020-06,1844.2441,37.2398
2020-07,2332.4365,44.6817
2020-08,2968.7777,54.038
2020-09,3136.4742,47.5315
2020-10,3691.2703,43.1102
2020-11,5106.7747,57.9789
2020-12,6499.682,63.0361
2021-01,6666.9663,60.507
2021-02,6347.7668,64.0387
2021-03,5761.8103,70.5941
2021-04,4869.4112,78.6176
2021-05,4940.9705,78.7807
2021-06,6290.6878,81.7862
2021-07,6417.2641,85.165
2021-08,5799.139,89.5209
2021-09,4931.3061,79.652
2021-10,7579.0326,91.2215
2021-11,8090.5987,88.7203
2021-12,5824.2492,96.1753
2022-01,4397.4739,84.8382
2022-02,5177.2499,78.356
2022-03,6216.5088,84.1718
2022-04,4896.5453,67.1269
2022-05,4857.6332,69.9248
2022-06,4718.9661,50.6444
2022-07,6839.3835,63.8565
2022-08,6820.4255,56.4409
2022-09,6542.2509,41.6257
2022-10,7347.0427,52.5015
2022-11,7596.7889,60.3073
2022-12,6196.4891,50.5328
2023-01,5108.0866,59.4277
2023-02,4803.7444,54.8564
2023-03,4749.9235,60.006
2023-04,3650.433,61.9344
2023-05,3833.5951,62.0896
2023-06,3652.9164,71.9711
2023-07,3270.3412,76.904
2023-08,2682.9113,73.3179
2023-09,2518.5375,64.4308
2023-10,1862.5974,60.2637
2023-11,2155.1297,74.3036
2023-12,2823.8592,81.5558
2024-01,2183.8791,83.6948
2024-02,2661.5561,92.4418
2024-03,2507.7899,97.8859
2024-04,2188.389,89.1612
2024-05,2485.5349,97.7957
2024-06,1898.8203,103.9456
2024-07,2188.5219,105.3805
2024-08,2135.9526,105.1825
2024-09,1970.9064,108.7418
2024-10,1409.6404,105.866
2024-11,1186.9475,111.6911
2024-12,1129.3049,104.7706
2025-01,1051.6795,105.8612
2025-02,930.4732,102.4101
2025-03,946.1025,92.6645
2025-04,833.2537,73.1455
