Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,4,33,-28,0.03,-2.1,65.7,28.1
2016-2018,-16,21,-37,-0.09,-4.9,66.8,28.3
2017-2019,15,34,-19,-0.51,-2.8,66.8,30.8
2018-2020,26,30,-5,0.75,-0.5,66.8,34.7
2019-2021,70,60,10,1.01,1.1,65.7,57.8
2020-2022,39,9,31,1.13,3.5,67.4,46.2
2021-2023,30,20,10,0.64,11.3,72.4,52.4
2022-2024,-15,20,-35,0.69,-44.3,72.8,53.5
2023-2025,-23,11,-33,0.85,-39.6,72.8,51.9
