Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-14,4,-18,0.52,-0.0,21.7,103.9
2017-2019,18,17,1,0.54,0.0,21.7,132.4
2018-2020,5,21,-15,0.81,-0.0,21.7,128.9
2019-2021,29,43,-14,0.84,-0.0,19.5,147.9
2020-2022,18,-2,20,0.74,0.1,19.5,157.6
2021-2023,11,1,10,0.48,0.1,17.1,146.4
2022-2024,11,19,-9,0.4,-0.1,17.1,187.3
2023-2025,50,62,-12,0.22,-0.2,16.7,249.7
