Date,rate_APD_5D,rate_VOO_20D
2015-01,0.3898,-3.5197
2015-02,6.746,1.8044
2015-03,1.9013,-0.4337
2015-04,-3.9592,0.3137
2015-05,-1.7147,1.1277
2015-06,-7.6708,-1.1499
2015-07,-3.0012,0.7758
2015-08,-4.9727,-5.4229
2015-09,-12.0373,-7.1738
2015-10,-3.4663,1.0672
2015-11,-4.6383,1.2476
2015-12,-8.2729,-0.572
2016-01,-10.0728,-4.925
2016-02,-5.5708,-4.8231
2016-03,3.5068,1.7982
2016-04,4.534,1.9719
2016-05,2.0939,3.5419
2016-06,2.0421,3.6524
2016-07,7.1113,7.2416
2016-08,11.1754,7.0197
2016-09,6.8697,6.6568
2016-10,2.8371,4.4599
2016-11,11.2349,8.0958
2016-12,10.9432,9.9999
2017-01,7.3134,11.4564
2017-02,7.4942,15.2492
2017-03,3.9155,14.8019
2017-04,7.7566,15.441
2017-05,10.1626,16.5118
2017-06,9.7938,16.6668
2017-07,8.7095,18.4843
2017-08,10.7401,18.2445
2017-09,14.7621,20.0845
2017-10,21.2478,22.2583
2017-11,23.3638,25.3046
2017-12,24.207,26.2059
2018-01,26.7592,32.449
2018-02,20.4672,26.7739
2018-03,19.4595,23.0189
2018-04,21.3476,22.8575
2018-05,20.1272,25.2441
2018-06,16.1773,25.5573
2018-07,22.0281,29.3514
2018-08,23.1278,32.7978
2018-09,23.9512,32.8363
2018-10,14.0424,23.2702
2018-11,18.5229,25.0563
2018-12,18.2718,13.5319
2019-01,21.0947,22.1943
2019-02,32.9609,25.7013
2019-03,40.1911,27.5721
2019-04,50.2345,32.1369
2019-05,47.7335,23.323
2019-06,64.0059,31.3236
2019-07,64.2007,32.644
2019-08,61.4147,29.9311
2019-09,58.2671,31.9602
2019-10,51.221,34.2575
2019-11,66.5919,38.4965
2019-12,65.3705,41.933
2020-01,66.8932,41.1927
2020-02,52.5274,29.1327
2020-03,41.4361,15.0941
2020-04,59.2251,29.6087
2020-05,69.6064,35.3017
2020-06,69.3714,37.2398
2020-07,99.7501,44.6817
2020-08,102.135,54.038
2020-09,105.3943,47.5315
2020-10,89.1174,43.1102
2020-11,90.3852,57.9789
2020-12,85.3724,63.0361
2021-01,79.8847,60.507
2021-02,71.3688,64.0387
2021-03,88.5112,70.5941
2021-04,92.0863,78.6176
2021-05,98.2331,78.7807
2021-06,90.0952,81.7862
2021-07,91.1444,85.165
2021-08,75.9846,89.5209
2021-09,67.3189,79.652
2021-10,94.864,91.2215
2021-11,85.7478,88.7203
2021-12,96.4627,96.1753
2022-01,81.1631,84.8382
2022-02,51.1795,78.356
2022-03,60.3761,84.1718
2022-04,49.5805,67.1269
2022-05,56.4846,69.9248
2022-06,50.2013,50.6444
2022-07,56.3322,63.8565
2022-08,58.3715,56.4409
2022-09,47.0904,41.6257
2022-10,51.6814,52.5015
2022-11,87.1602,60.3073
2022-12,86.0898,50.5328
2023-01,92.4995,59.4277
2023-02,70.9454,54.8564
2023-03,72.0296,60.006
2023-04,75.5662,61.9344
2023-05,59.8437,62.0896
2023-06,78.2469,71.9711
2023-07,80.9311,76.904
2023-08,74.4109,73.3179
2023-09,67.6203,64.4308
2023-10,62.6714,60.2637
2023-11,55.1949,74.3036
2023-12,57.5392,81.5558
2024-01,46.6474,83.6948
2024-02,33.9437,92.4418
2024-03,39.3389,97.8859
2024-04,33.4417,89.1612
2024-05,50.2303,97.7957
2024-06,44.9185,103.9456
2024-07,48.7605,105.3805
2024-08,56.7032,105.1825
2024-09,66.78,108.7418
2024-10,76.3807,105.866
2024-11,82.603,111.6911
2024-12,57.8433,104.7706
2025-01,82.965,105.8612
2025-02,71.9081,102.4101
2025-03,62.212,92.6645
2025-04,42.9527,73.1455
