Date,rate_VST_5D,rate_VOO_20D
2016-10,0.0,-1.5099
2016-11,-1.2033,2.126
2016-12,28.1922,4.0301
2017-01,28.2434,5.4866
2017-02,21.4586,9.2793
2017-03,19.3112,8.8321
2017-04,7.133,9.4711
2017-05,4.8603,10.542
2017-06,18.4714,10.6969
2017-07,14.1322,12.5144
2017-08,21.5369,12.2747
2017-09,26.3362,14.1147
2017-10,29.3158,16.2885
2017-11,23.8472,19.3348
2017-12,18.8201,20.2361
2018-01,25.2265,26.4792
2018-02,20.2688,20.8041
2018-03,30.5102,17.0491
2018-04,41.2987,16.8876
2018-05,49.5494,19.2743
2018-06,42.0877,19.5875
2018-07,33.9473,23.3816
2018-08,37.9096,26.828
2018-09,44.1936,26.8665
2018-10,29.5407,17.3004
2018-11,32.9765,19.0865
2018-12,28.4269,7.5621
2019-01,39.6948,16.2245
2019-02,43.484,19.7315
2019-03,42.6881,21.6023
2019-04,47.9627,26.1671
2019-05,26.6604,17.3532
2019-06,21.4526,25.3538
2019-07,14.5353,26.6742
2019-08,32.6606,23.9613
2019-09,41.8257,25.9904
2019-10,42.2749,28.2877
2019-11,38.666,32.5266
2019-12,19.9481,35.9631
2020-01,16.9939,35.2229
2020-02,-0.4576,23.1628
2020-03,-16.2872,9.1242
2020-04,3.0272,23.6389
2020-05,7.7119,29.3318
2020-06,-1.4283,31.27
2020-07,-1.2595,38.7119
2020-08,1.7454,48.0682
2020-09,0.5221,41.5617
2020-10,-7.3374,37.1404
2020-11,-0.3754,52.0091
2020-12,5.6151,57.0662
2021-01,7.2113,54.5372
2021-02,-7.6524,58.0689
2021-03,-4.5007,64.6243
2021-04,-8.8112,72.6478
2021-05,-12.3802,72.8109
2021-06,1.5443,75.8164
2021-07,4.762,79.1952
2021-08,4.3595,83.5511
2021-09,-5.8087,73.6821
2021-10,7.9519,85.2517
2021-11,9.3798,82.7505
2021-12,25.9403,90.2054
2022-01,20.2432,78.8684
2022-02,25.4345,72.3862
2022-03,28.4395,78.202
2022-04,37.7453,61.1571
2022-05,31.6621,63.955
2022-06,15.6651,44.6746
2022-07,30.6219,57.8867
2022-08,24.6762,50.4711
2022-09,13.0444,35.6558
2022-10,17.8699,46.5317
2022-11,24.5944,54.3375
2022-12,19.4403,44.563
2023-01,18.4829,53.4579
2023-02,12.7459,48.8866
2023-03,23.7095,54.0362
2023-04,22.6522,55.9646
2023-05,22.8941,56.1197
2023-06,35.3218,66.0013
2023-07,44.1987,70.9342
2023-08,60.77,67.348
2023-09,70.0443,58.461
2023-10,63.5761,54.2939
2023-11,76.1804,68.3338
2023-12,91.7559,75.586
2024-01,103.0963,77.7249
2024-02,168.3521,86.472
2024-03,241.4031,91.9161
2024-04,239.4256,83.1914
2024-05,340.025,91.8259
2024-06,279.8405,97.9758
2024-07,247.1353,99.4107
2024-08,271.6356,99.2127
2024-09,413.1628,102.772
2024-10,432.4509,99.8962
2024-11,525.129,105.7213
2024-12,438.9105,98.8008
2025-01,423.7994,99.8914
2025-02,376.1273,96.4403
2025-03,330.4076,86.6946
2025-04,272.2437,67.1757
