Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,8,12,-4,0.67,-0.0,15.1,9.9
2017-2019,-5,25,-31,0.79,-0.1,16.4,9.2
2018-2020,-3,24,-27,0.61,-0.1,25.4,11.1
2019-2021,27,65,-39,0.59,-0.1,25.4,12.7
2020-2022,23,7,16,0.6,0.1,23.9,10.8
2021-2023,-2,21,-23,0.72,-0.2,23.9,10.2
2022-2024,-2,30,-32,0.63,-0.0,28.5,12.2
2023-2025,80,75,4,0.65,0.0,26.2,19.0
