Date,rate_AEP_5D,rate_VOO_20D
2015-01,-2.4269,-3.5197
2015-02,-6.4373,1.8044
2015-03,-6.0216,-0.4337
2015-04,-3.9169,0.3137
2015-05,-3.4635,1.1277
2015-06,-8.6633,-1.1499
2015-07,-1.7025,0.7758
2015-08,-4.4525,-5.4229
2015-09,-0.1861,-7.1738
2015-10,-0.4669,1.0672
2015-11,-0.6407,1.2476
2015-12,3.2686,-0.572
2016-01,7.755,-4.925
2016-02,9.4584,-4.8231
2016-03,16.7522,1.7982
2016-04,10.6415,1.9719
2016-05,12.9569,3.5419
2016-06,21.5185,3.6524
2016-07,19.0599,7.2416
2016-08,11.3047,7.0197
2016-09,9.9261,6.6568
2016-10,10.6026,4.4599
2016-11,1.3427,8.0958
2016-12,8.0381,9.9999
2017-01,9.603,11.4564
2017-02,15.2687,15.2492
2017-03,15.0253,14.8019
2017-04,15.6648,15.441
2017-05,22.7321,16.5118
2017-06,18.0339,16.6668
2017-07,19.2395,18.4843
2017-08,24.8603,18.2445
2017-09,18.4069,20.0845
2017-10,24.7963,22.2583
2017-11,30.55,25.3046
2017-12,23.0822,26.2059
2018-01,14.7493,32.449
2018-02,10.1316,26.7739
2018-03,14.9039,23.0189
2018-04,16.8597,22.8575
2018-05,14.1402,25.2441
2018-06,16.0205,25.5573
2018-07,18.811,29.3514
2018-08,20.3747,32.7978
2018-09,18.4568,32.8363
2018-10,22.1228,23.2702
2018-11,30.0793,25.0563
2018-12,24.4485,13.5319
2019-01,31.1934,22.1943
2019-02,35.0616,25.7013
2019-03,38.6333,27.5721
2019-04,40.8355,32.1369
2019-05,42.1525,23.323
2019-06,44.4098,31.3236
2019-07,43.222,32.644
2019-08,48.9251,29.9311
2019-09,52.1675,31.9602
2019-10,52.3905,34.2575
2019-11,47.7934,38.4965
2019-12,52.1041,41.933
2020-01,66.8102,41.1927
2020-02,42.9493,29.1327
2020-03,38.9109,15.0941
2020-04,43.8546,29.6087
2020-05,48.2178,35.3017
2020-06,37.7706,37.2398
2020-07,49.6301,44.6817
2020-08,36.358,54.038
2020-09,40.7787,47.5315
2020-10,54.2364,43.1102
2020-11,46.1375,57.9789
2020-12,42.7492,63.0361
2021-01,38.1648,60.507
2021-02,28.5133,64.0387
2021-03,44.9133,70.5941
2021-04,51.1408,78.6176
2021-05,47.1535,78.7807
2021-06,44.1745,81.7862
2021-07,49.5982,85.165
2021-08,52.6928,89.5209
2021-09,37.922,79.652
2021-10,43.3303,91.2215
2021-11,37.9149,88.7203
2021-12,50.848,96.1753
2022-01,52.6703,84.8382
2022-02,53.8111,78.356
2022-03,68.6115,84.1718
2022-04,66.206,67.1269
2022-05,67.27,69.9248
2022-06,56.5906,50.6444
2022-07,60.2043,63.8565
2022-08,63.4741,56.4409
2022-09,50.93,41.6257
2022-10,52.4245,52.5015
2022-11,68.7669,60.3073
2022-12,64.8444,50.5328
2023-01,62.4425,59.4277
2023-02,52.8928,54.8564
2023-03,57.5777,60.006
2023-04,59.4701,61.9344
2023-05,44.2942,62.0896
2023-06,45.6884,71.9711
2023-07,46.1636,76.904
2023-08,36.2711,73.3179
2023-09,30.4227,64.4308
2023-10,30.7102,60.2637
2023-11,38.8939,74.3036
2023-12,41.4284,81.5558
2024-01,35.6758,83.6948
2024-02,49.2514,92.4418
2024-03,50.3983,97.8859
2024-04,44.7741,89.1612
2024-05,52.9197,97.7957
2024-06,48.2447,103.9456
2024-07,65.2906,105.3805
2024-08,69.877,105.1825
2024-09,73.1844,108.7418
2024-10,66.1053,105.866
2024-11,69.0313,111.6911
2024-12,55.6007,104.7706
2025-01,65.4528,105.8612
2025-02,79.4626,102.4101
2025-03,76.4459,92.6645
2025-04,62.9169,73.1455
