Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,25,32,-7,-0.04,-1.1,4.5,30.3
2016-2018,18,20,-2,0.05,-1.2,4.8,32.0
2017-2019,47,34,13,0.16,17.5,4.8,41.7
2018-2020,27,21,6,0.28,8.2,99.6,38.0
2019-2021,18,68,-51,0.33,-66.1,99.6,42.0
2020-2022,-28,-10,-18,0.38,-20.8,99.6,46.4
2021-2023,-20,9,-29,0.56,-37.1,80.9,41.3
2022-2024,-21,-2,-18,0.55,-20.1,80.9,48.8
2023-2025,-10,30,-41,0.68,-43.0,81.8,56.1
