Date,rate_COIN_5D,rate_VOO_20D
2021-04,0.0,2.4833
2021-05,-16.1627,2.6464
2021-06,-6.6145,5.6519
2021-07,-10.4586,9.0307
2021-08,-0.1209,13.3866
2021-09,-12.1637,3.5176
2021-10,22.6266,15.0872
2021-11,18.0511,12.586
2021-12,-5.594,20.0409
2022-01,-28.2742,8.7039
2022-02,-25.8996,2.2216
2022-03,-24.5097,8.0375
2022-04,-54.0859,-9.0075
2022-05,-62.8964,-6.2095
2022-06,-74.7102,-25.49
2022-07,-60.643,-12.2778
2022-08,-54.676,-19.6935
2022-09,-55.5555,-34.5087
2022-10,-59.9405,-23.6328
2022-11,-64.6309,-15.827
2022-12,-71.2374,-25.6016
2023-01,-47.0471,-16.7066
2023-02,-39.6584,-21.278
2023-03,-35.6609,-16.1283
2023-04,-47.7382,-14.1999
2023-05,-38.0145,-14.0448
2023-06,-27.2637,-4.1632
2023-07,0.6827,0.7697
2023-08,-18.2684,-2.8165
2023-09,-22.2977,-11.7035
2023-10,-19.4678,-15.8706
2023-11,30.9907,-1.8307
2023-12,80.9425,5.4215
2024-01,32.518,7.5604
2024-02,108.4405,16.3075
2024-03,167.5251,21.7516
2024-04,103.0537,13.0268
2024-05,121.4336,21.6614
2024-06,114.7707,27.8113
2024-07,113.7845,29.2462
2024-08,72.7405,29.0482
2024-09,66.4867,32.6075
2024-10,65.6478,29.7317
2024-11,121.992,35.5568
2024-12,99.4596,28.6363
2025-01,110.4332,29.7269
2025-02,54.2235,26.2758
2025-03,21.5815,16.5301
2025-04,11.809,-2.9888
