Date,rate_SRE_5D,rate_VOO_20D
2015-01,-2.7007,-3.5197
2015-02,-5.5977,1.8044
2015-03,-3.096,-0.4337
2015-04,-5.2646,0.3137
2015-05,-3.409,1.1277
2015-06,-10.0521,-1.1499
2015-07,-6.5379,0.7758
2015-08,-10.4871,-5.4229
2015-09,-5.6937,-7.1738
2015-10,0.254,1.0672
2015-11,-3.0624,1.2476
2015-12,-6.879,-0.572
2016-01,-5.6225,-4.925
2016-02,-3.5872,-4.8231
2016-03,4.766,1.7982
2016-04,3.6519,1.9719
2016-05,7.1033,3.5419
2016-06,14.3594,3.6524
2016-07,11.5099,7.2416
2016-08,3.924,7.0197
2016-09,6.9236,6.6568
2016-10,6.6167,4.4599
2016-11,-0.8361,8.0958
2016-12,0.7766,9.9999
2017-01,2.4248,11.4564
2017-02,10.1404,15.2492
2017-03,10.8154,14.8019
2017-04,12.879,15.441
2017-05,15.8767,16.5118
2017-06,11.628,16.6668
2017-07,12.3263,18.4843
2017-08,16.7682,18.2445
2017-09,13.4031,20.0845
2017-10,16.2349,22.2583
2017-11,19.2286,25.3046
2017-12,6.0121,26.2059
2018-01,5.8519,32.449
2018-02,7.636,26.7739
2018-03,10.5666,23.0189
2018-04,10.8617,22.8575
2018-05,5.3818,25.2441
2018-06,15.6618,25.5573
2018-07,14.7896,29.3514
2018-08,14.9092,32.7978
2018-09,13.1385,32.8363
2018-10,9.2263,23.2702
2018-11,13.9388,25.0563
2018-12,7.5856,13.5319
2019-01,16.0488,22.1943
2019-02,19.1502,25.7013
2019-03,25.0701,27.5721
2019-04,26.6342,32.1369
2019-05,29.5312,23.323
2019-06,34.8106,31.3236
2019-07,33.1733,32.644
2019-08,38.5595,29.9311
2019-09,44.6809,31.9602
2019-10,40.9106,34.2575
2019-11,42.8715,38.4965
2019-12,47.172,41.933
2020-01,55.2222,41.1927
2020-02,34.2994,29.1327
2020-03,4.0799,15.0941
2020-04,14.1799,29.6087
2020-05,16.272,35.3017
2020-06,8.5992,37.2398
2020-07,15.1111,44.6817
2020-08,14.1422,54.038
2020-09,10.1392,47.5315
2020-10,16.4833,43.1102
2020-11,18.1029,57.9789
2020-12,18.69,63.0361
2021-01,15.0875,60.507
2021-02,7.6484,64.0387
2021-03,23.888,70.5941
2021-04,28.2273,78.6176
2021-05,25.9527,78.7807
2021-06,22.7505,81.7862
2021-07,21.7505,85.165
2021-08,23.0598,89.5209
2021-09,18.3212,79.652
2021-10,19.1347,91.2215
2021-11,11.6644,88.7203
2021-12,24.0664,96.1753
2022-01,29.2849,84.8382
2022-02,34.5693,78.356
2022-03,57.516,84.1718
2022-04,50.5688,67.1269
2022-05,52.0158,69.9248
2022-06,38.8822,50.6444
2022-07,53.9332,63.8565
2022-08,52.594,56.4409
2022-09,45.2199,41.6257
2022-10,47.5443,52.5015
2022-11,61.8954,60.3073
2022-12,51.0481,50.5328
2023-01,56.1125,59.4277
2023-02,45.4869,54.8564
2023-03,47.3933,60.006
2023-04,51.1372,61.9344
2023-05,39.1275,62.0896
2023-06,40.6663,71.9711
2023-07,44.7519,76.904
2023-08,36.0465,73.3179
2023-09,32.557,64.4308
2023-10,36.1185,60.2637
2023-11,41.2759,74.3036
2023-12,45.6747,81.5558
2024-01,39.0822,83.6948
2024-02,36.8787,92.4418
2024-03,40.155,97.8859
2024-04,35.0697,89.1612
2024-05,44.9106,97.7957
2024-06,43.872,103.9456
2024-07,51.0339,105.3805
2024-08,49.5433,105.1825
2024-09,52.882,108.7418
2024-10,51.9568,105.866
2024-11,60.1607,111.6911
2024-12,50.592,104.7706
2025-01,37.2791,105.8612
2025-02,18.215,102.4101
2025-03,18.8041,92.6645
2025-04,6.2604,73.1455
