Date,rate_DOGE-USD_5D,rate_VOO_20D
2017-11,13.4754,3.1372
2017-12,386.7252,4.0385
2018-01,143.6776,10.2816
2018-02,117.0878,4.6065
2018-03,-7.4744,0.8515
2018-04,71.0112,0.6901
2018-05,10.0929,3.0767
2018-06,-23.4965,3.3899
2018-07,-5.6103,7.184
2018-08,57.5732,10.6304
2018-09,85.3586,10.669
2018-10,18.1401,1.1028
2018-11,-32.5481,2.8889
2018-12,-24.8652,-8.6354
2019-01,-36.5494,0.0269
2019-02,-32.7868,3.5339
2019-03,-27.1692,5.4047
2019-04,-13.0917,9.9695
2019-05,19.2679,1.1556
2019-06,20.0425,9.1562
2019-07,-1.4274,10.4766
2019-08,-15.5844,7.7637
2019-09,-18.3846,9.7928
2019-10,-9.6888,12.0901
2019-11,-15.0552,16.3291
2019-12,-29.0403,19.7656
2020-01,-15.041,19.0253
2020-02,-18.3257,6.9653
2020-03,-27.1625,-7.0733
2020-04,-0.7164,7.4413
2020-05,2.8418,13.1343
2020-06,-5.5942,15.0724
2020-07,30.4996,22.5143
2020-08,29.2042,31.8706
2020-09,5.1337,25.3641
2020-10,3.7184,20.9428
2020-11,41.4027,35.8115
2020-12,84.8618,40.8687
2021-01,1736.2047,38.3396
2021-02,1820.9642,41.8713
2021-03,1895.4377,48.4267
2021-04,12174.1377,56.4502
2021-05,10959.9232,56.6133
2021-06,8735.1916,59.6188
2021-07,7001.6068,62.9976
2021-08,9171.0605,67.3535
2021-09,6560.6915,57.4846
2021-10,9098.0899,69.0541
2021-11,6625.3814,66.5529
2021-12,5137.4622,74.0079
2022-01,4173.9008,62.6708
2022-02,3839.2,56.1886
2022-03,3903.7571,62.0044
2022-04,3741.3011,44.9595
2022-05,3237.4424,47.7574
2022-06,2425.0218,28.477
2022-07,2489.275,41.6891
2022-08,2166.938,34.2735
2022-09,2142.4927,19.4583
2022-10,4392.9495,30.3341
2022-11,3367.2201,38.1399
2022-12,2085.2961,28.3654
2023-01,2926.2759,37.2604
2023-02,2403.3063,32.689
2023-03,2253.5812,37.8386
2023-04,2320.0628,39.767
2023-05,2027.6438,39.9222
2023-06,1846.5506,49.8037
2023-07,2147.6287,54.7366
2023-08,1717.509,51.1505
2023-09,1648.4572,42.2635
2023-10,1795.1341,38.0963
2023-11,2185.7088,52.1362
2023-12,2362.7118,59.3885
2024-01,2003.82,61.5274
2024-02,2991.32,70.2744
2024-03,5632.4393,75.7185
2024-04,3671.3589,66.9938
2024-05,3857.431,75.6283
2024-06,2917.0758,81.7782
2024-07,2862.6711,83.2131
2024-08,2439.413,83.0151
2024-09,2715.0277,86.5744
2024-10,3641.6442,83.6987
2024-11,8473.9872,89.5237
2024-12,6184.1203,82.6032
2025-01,6169.166,83.6938
2025-02,4174.6445,80.2427
2025-03,3362.2463,70.4971
2025-04,3000.1457,50.9781
