Date,rate_EQIX_5D,rate_VOO_20D
2015-01,-5.8077,-3.5197
2015-02,-2.1225,1.8044
2015-03,1.4076,-0.4337
2015-04,10.4034,0.3137
2015-05,14.2326,1.1277
2015-06,7.0754,-1.1499
2015-07,15.8167,0.7758
2015-08,10.7875,-5.4229
2015-09,10.814,-7.1738
2015-10,23.3738,1.0672
2015-11,21.1195,1.2476
2015-12,22.3242,-0.572
2016-01,24.0753,-4.925
2016-02,19.7237,-4.8231
2016-03,29.5677,1.7982
2016-04,27.6779,1.9719
2016-05,38.7587,3.5419
2016-06,46.2834,3.6524
2016-07,38.6792,7.2416
2016-08,35.9742,7.0197
2016-09,31.2831,6.6568
2016-10,28.8401,4.4599
2016-11,21.8207,8.0958
2016-12,27.6966,9.9999
2017-01,36.3161,11.4564
2017-02,32.6349,15.2492
2017-03,39.7985,14.8019
2017-04,44.3572,15.441
2017-05,51.5084,16.5118
2017-06,45.9123,16.6668
2017-07,51.5702,18.4843
2017-08,56.5127,18.2445
2017-09,47.5632,20.0845
2017-10,51.7737,22.2583
2017-11,51.2361,25.3046
2017-12,46.2709,26.2059
2018-01,45.7099,32.449
2018-02,25.2856,26.7739
2018-03,32.8744,23.0189
2018-04,32.9548,22.8575
2018-05,25.3737,25.2441
2018-06,35.1341,25.5573
2018-07,37.2536,29.3514
2018-08,36.0478,32.7978
2018-09,34.243,32.8363
2018-10,16.9588,23.2702
2018-11,19.2018,25.0563
2018-12,8.6948,13.5319
2019-01,21.1851,22.1943
2019-02,30.5299,25.7013
2019-03,38.9662,27.5721
2019-04,38.6444,32.1369
2019-05,47.9693,23.323
2019-06,52.607,31.3236
2019-07,50.9581,32.644
2019-08,66.8468,29.9311
2019-09,71.7379,31.9602
2019-10,67.5802,34.2575
2019-11,67.2271,38.4965
2019-12,71.0966,41.933
2020-01,71.7072,41.1927
2020-02,66.3007,29.1327
2020-03,68.4864,15.0941
2020-04,81.0716,29.6087
2020-05,86.4882,35.3017
2020-06,86.41,37.2398
2020-07,106.9521,44.6817
2020-08,107.2383,54.038
2020-09,98.0415,47.5315
2020-10,89.1875,43.1102
2020-11,79.9366,57.9789
2020-12,83.0442,63.0361
2021-01,88.5358,60.507
2021-02,64.892,64.0387
2021-03,71.9155,70.5941
2021-04,81.3024,78.6176
2021-05,84.9574,78.7807
2021-06,100.2731,81.7862
2021-07,103.3975,85.165
2021-08,108.4495,89.5209
2021-09,94.0183,79.652
2021-10,104.3175,91.2215
2021-11,97.7781,88.7203
2021-12,104.7734,96.1753
2022-01,74.5224,84.8382
2022-02,70.0507,78.356
2022-03,77.5967,84.1718
2022-04,70.844,67.1269
2022-05,69.1049,69.9248
2022-06,51.4488,50.6444
2022-07,61.5763,63.8565
2022-08,50.9943,56.4409
2022-09,33.2309,41.6257
2022-10,38.2236,52.5015
2022-11,68.8176,60.3073
2022-12,59.4616,50.5328
2023-01,78.8731,59.4277
2023-02,66.0846,54.8564
2023-03,74.0865,60.006
2023-04,74.0888,61.9344
2023-05,79.3362,62.0896
2023-06,87.7282,71.9711
2023-07,93.0537,76.904
2023-08,86.3085,73.3179
2023-09,72.436,64.4308
2023-10,68.0594,60.2637
2023-11,87.8315,74.3036
2023-12,84.8107,81.5558
2024-01,89.5776,83.6948
2024-02,103.1171,92.4418
2024-03,87.7275,97.8859
2024-04,61.1546,89.1612
2024-05,73.1672,97.7957
2024-06,71.0811,103.9456
2024-07,78.0146,105.3805
2024-08,88.1755,105.1825
2024-09,99.3337,108.7418
2024-10,96.1418,105.866
2024-11,112.0705,111.6911
2024-12,101.8539,104.7706
2025-01,94.4773,105.8612
2025-02,92.7557,102.4101
2025-03,77.8475,92.6645
2025-04,71.4373,73.1455
