Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2021-2023,-50,-7,-43,0.1,,83.4,0.3
2022-2024,186,21,165,0.05,3.5,83.4,2.2
2023-2025,144,65,79,0.04,2.3,83.4,1.1
