Date,rate_LMT_5D,rate_VOO_20D
2015-01,-5.2864,-3.5197
2015-02,1.6109,1.8044
2015-03,2.1216,-0.4337
2015-04,-4.8103,0.3137
2015-05,-3.2962,1.1277
2015-06,-4.2856,-1.1499
2015-07,6.7346,0.7758
2015-08,3.6532,-5.4229
2015-09,6.1029,-7.1738
2015-10,11.8963,1.0672
2015-11,11.3147,1.2476
2015-12,9.428,-0.572
2016-01,5.9019,-4.925
2016-02,8.503,-4.8231
2016-03,10.7115,1.7982
2016-04,15.4039,1.9719
2016-05,17.1891,3.5419
2016-06,21.9307,3.6524
2016-07,22.9938,7.2416
2016-08,17.8204,7.0197
2016-09,15.4755,6.6568
2016-10,17.9369,4.4599
2016-11,26.9786,8.0958
2016-12,18.6161,9.9999
2017-01,18.4407,11.4564
2017-02,25.6737,15.2492
2017-03,25.1955,14.8019
2017-04,25.0889,15.441
2017-05,30.4006,16.5118
2017-06,27.7856,16.6668
2017-07,33.4481,18.4843
2017-08,39.2312,18.2445
2017-09,40.2478,20.0845
2017-10,38.1201,22.2583
2017-11,42.7551,25.3046
2017-12,42.4786,26.2059
2018-01,56.1273,32.449
2018-02,46.8598,26.7739
2018-03,39.753,23.0189
2018-04,31.8145,22.8575
2018-05,29.2569,25.2441
2018-06,20.753,25.5573
2018-07,32.7003,29.3514
2018-08,30.4786,32.7978
2018-09,40.0769,32.8363
2018-10,18.2317,23.2702
2018-11,21.2722,25.0563
2018-12,5.3846,13.5319
2019-01,16.4145,22.1943
2019-02,24.858,25.7013
2019-03,20.7245,27.5721
2019-04,33.5489,32.1369
2019-05,35.8723,23.323
2019-06,45.0931,31.3236
2019-07,43.7192,32.644
2019-08,52.3666,29.9311
2019-09,53.7902,31.9602
2019-10,47.7107,34.2575
2019-11,53.3997,38.4965
2019-12,51.8749,41.933
2020-01,65.9648,41.1927
2020-02,43.6394,29.1327
2020-03,22.4527,15.0941
2020-04,40.0886,29.6087
2020-05,40.1157,35.3017
2020-06,31.0814,37.2398
2020-07,35.6324,44.6817
2020-08,39.9764,54.038
2020-09,36.8903,47.5315
2020-10,24.5717,43.1102
2020-11,30.3474,57.9789
2020-12,26.3671,63.0361
2021-01,14.2967,60.507
2021-02,17.9047,64.0387
2021-03,31.6047,70.5941
2021-04,35.1018,78.6176
2021-05,36.0933,78.7807
2021-06,34.2236,81.7862
2021-07,31.4115,85.165
2021-08,27.793,89.5209
2021-09,22.2535,79.652
2021-10,17.4581,91.2215
2021-11,18.54,88.7203
2021-12,26.1177,96.1753
2022-01,37.722,84.8382
2022-02,54.0793,78.356
2022-03,56.0934,84.1718
2022-04,52.1271,67.1269
2022-05,55.2725,69.9248
2022-06,51.2864,50.6444
2022-07,45.0699,63.8565
2022-08,47.7327,56.4409
2022-09,35.3968,41.6257
2022-10,66.5338,52.5015
2022-11,66.3675,60.3073
2022-12,66.1238,50.5328
2023-01,57.6643,59.4277
2023-02,61.816,54.8564
2023-03,60.6741,60.006
2023-04,57.2457,61.9344
2023-05,50.8179,62.0896
2023-06,55.8448,71.9711
2023-07,50.5824,76.904
2023-08,51.7565,73.3179
2023-09,37.9868,64.4308
2023-10,52.9144,60.2637
2023-11,51.1946,74.3036
2023-12,52.5509,81.5558
2024-01,44.0798,83.6948
2024-02,44.3462,92.4418
2024-03,52.8926,97.8859
2024-04,55.7902,89.1612
2024-05,57.0906,97.7957
2024-06,56.5576,103.9456
2024-07,81.0597,105.3805
2024-08,89.0418,105.1825
2024-09,94.7792,108.7418
2024-10,81.1325,105.866
2024-11,74.9485,111.6911
2024-12,61.0981,104.7706
2025-01,52.547,105.8612
2025-02,51.9347,102.4101
2025-03,50.9328,92.6645
2025-04,48.377,73.1455
