Date,rate_LIN_5D,rate_VOO_20D
2015-01,-5.0105,-3.5197
2015-02,1.1471,1.8044
2015-03,-4.6627,-0.4337
2015-04,-3.1548,0.3137
2015-05,-2.0934,1.1277
2015-06,-3.8943,-1.1499
2015-07,-7.1951,0.7758
2015-08,-13.5297,-5.4229
2015-09,-14.7869,-7.1738
2015-10,-5.8249,1.0672
2015-11,-4.031,1.2476
2015-12,-11.3462,-0.572
2016-01,-12.0681,-4.925
2016-02,-9.7504,-4.8231
2016-03,2.6014,1.7982
2016-04,5.0695,1.9719
2016-05,-1.6261,3.5419
2016-06,1.1124,3.6524
2016-07,4.7091,7.2416
2016-08,9.1943,7.0197
2016-09,8.301,6.6568
2016-10,4.5473,4.4599
2016-11,7.1608,8.0958
2016-12,4.7751,9.9999
2017-01,5.6777,11.4564
2017-02,5.7043,15.2492
2017-03,6.0416,14.8019
2017-04,11.5173,15.441
2017-05,17.6047,16.5118
2017-06,17.8879,16.6668
2017-07,15.1243,18.4843
2017-08,15.7903,18.2445
2017-09,23.2392,20.0845
2017-10,28.1205,22.2583
2017-11,34.0732,25.3046
2017-12,34.5262,26.2059
2018-01,39.4543,32.449
2018-02,28.469,26.7739
2018-03,23.7021,23.0189
2018-04,30.0718,22.8575
2018-05,32.4988,25.2441
2018-06,33.9133,25.5573
2018-07,40.94,29.3514
2018-08,33.0242,32.7978
2018-09,34.4464,32.8363
2018-10,37.5426,23.2702
2018-11,31.4951,25.0563
2018-12,28.9775,13.5319
2019-01,34.1043,22.1943
2019-02,41.7534,25.7013
2019-03,43.9317,27.5721
2019-04,46.5901,32.1369
2019-05,46.6447,23.323
2019-06,62.0158,31.3236
2019-07,53.3651,32.644
2019-08,51.2941,29.9311
2019-09,54.2439,31.9602
2019-10,57.0292,34.2575
2019-11,62.2461,38.4965
2019-12,67.1211,41.933
2020-01,58.4195,41.1927
2020-02,48.0043,29.1327
2020-03,35.1338,15.0941
2020-04,43.2846,29.6087
2020-05,56.8671,35.3017
2020-06,64.2845,37.2398
2020-07,88.6513,44.6817
2020-08,90.8762,54.038
2020-09,81.3212,47.5315
2020-10,66.7228,43.1102
2020-11,92.8075,57.9789
2020-12,97.5414,63.0361
2021-01,82.7674,60.507
2021-02,80.7622,64.0387
2021-03,106.8693,70.5941
2021-04,109.648,78.6176
2021-05,118.9191,78.7807
2021-06,109.871,81.7862
2021-07,121.6672,85.165
2021-08,125.3367,89.5209
2021-09,109.5203,79.652
2021-10,126.3622,91.2215
2021-11,124.0559,88.7203
2021-12,143.1154,96.1753
2022-01,122.1512,84.8382
2022-02,103.1896,78.356
2022-03,120.9414,84.1718
2022-04,113.7841,67.1269
2022-05,117.6987,69.9248
2022-06,97.2906,50.6444
2022-07,110.1712,63.8565
2022-08,95.7568,56.4409
2022-09,85.5804,41.6257
2022-10,96.0623,52.5015
2022-11,120.6973,60.3073
2022-12,113.5109,50.5328
2023-01,115.4213,59.4277
2023-02,125.5187,54.8564
2023-03,129.6556,60.006
2023-04,137.3515,61.9344
2023-05,125.9104,62.0896
2023-06,142.9443,71.9711
2023-07,147.6435,76.904
2023-08,143.9511,73.3179
2023-09,134.1436,64.4308
2023-10,135.326,60.2637
2023-11,153.3964,74.3036
2023-12,150.9038,81.5558
2024-01,145.9897,83.6948
2024-02,171.2186,92.4418
2024-03,179.8169,97.8859
2024-04,164.2817,89.1612
2024-05,159.6156,97.7957
2024-06,161.0103,103.9456
2024-07,168.2975,105.3805
2024-08,181.4005,105.1825
2024-09,179.8744,108.7418
2024-10,159.0162,105.866
2024-11,160.4214,111.6911
2024-12,136.0358,104.7706
2025-01,150.2988,105.8612
2025-02,160.7284,102.4101
2025-03,153.7488,92.6645
2025-04,130.8383,73.1455
