Date,rate_GS_5D,rate_VOO_20D
2015-01,0.0,-3.5197
2015-02,5.0335,1.8044
2015-03,2.4423,-0.4337
2015-04,5.889,0.3137
2015-05,9.8917,1.1277
2015-06,9.6344,-1.1499
2015-07,6.307,0.7758
2015-08,-1.6168,-5.4229
2015-09,-8.9516,-7.1738
2015-10,-1.3388,1.0672
2015-11,0.2998,1.2476
2015-12,-4.5998,-0.572
2016-01,-14.0192,-4.925
2016-02,-19.1314,-4.8231
2016-03,-14.1173,1.7982
2016-04,-9.5075,1.9719
2016-05,-11.2572,3.5419
2016-06,-16.7843,3.6524
2016-07,-10.1964,7.2416
2016-08,-3.479,7.0197
2016-09,-7.9649,6.6568
2016-10,1.7842,4.4599
2016-11,25.4357,8.0958
2016-12,35.6606,9.9999
2017-01,28.7885,11.4564
2017-02,38.1057,15.2492
2017-03,26.5566,14.8019
2017-04,22.4358,15.441
2017-05,15.2457,16.5118
2017-06,20.3819,16.6668
2017-07,21.4902,18.4843
2017-08,20.3609,18.2445
2017-09,26.9024,20.0845
2017-10,28.8892,22.2583
2017-11,31.1364,25.3046
2017-12,34.0048,26.2059
2018-01,39.8865,32.449
2018-02,30.2683,26.7739
2018-03,24.048,23.0189
2018-04,16.7815,22.8575
2018-05,10.6538,25.2441
2018-06,7.7282,25.5573
2018-07,15.6727,29.3514
2018-08,15.8929,32.7978
2018-09,8.9478,32.8363
2018-10,9.2575,23.2702
2018-11,-7.3472,25.0563
2018-12,-18.4446,13.5319
2019-01,-2.9761,22.1943
2019-02,-3.1657,25.7013
2019-03,-5.487,27.5721
2019-04,1.4051,32.1369
2019-05,-9.7382,23.323
2019-06,1.2317,31.3236
2019-07,8.8519,32.644
2019-08,1.4404,29.9311
2019-09,3.1001,31.9602
2019-10,6.1025,34.2575
2019-11,10.5368,38.4965
2019-12,14.5945,41.933
2020-01,18.2064,41.1927
2020-02,0.4295,29.1327
2020-03,-26.4473,15.0941
2020-04,-12.1508,29.6087
2020-05,-5.0719,35.3017
2020-06,-4.4859,37.2398
2020-07,-4.3366,44.6817
2020-08,-0.427,54.038
2020-09,-2.3269,47.5315
2020-10,-8.0712,43.1102
2020-11,12.12,57.9789
2020-12,28.7031,63.0361
2021-01,31.9292,60.507
2021-02,54.7399,64.0387
2021-03,58.197,70.5941
2021-04,67.6945,78.6176
2021-05,78.6848,78.7807
2021-06,81.2294,81.7862
2021-07,78.0164,85.165
2021-08,96.2202,89.5209
2021-09,78.3378,79.652
2021-10,93.8836,91.2215
2021-11,77.6649,88.7203
2021-12,78.3575,96.1753
2022-01,64.4951,84.8382
2022-02,57.5507,78.356
2022-03,52.6821,84.1718
2022-04,40.3327,67.1269
2022-05,47.9657,69.9248
2022-06,33.999,50.6444
2022-07,49.9531,63.8565
2022-08,50.2163,56.4409
2022-09,32.0163,41.6257
2022-10,56.8311,52.5015
2022-11,76.2062,60.3073
2022-12,56.1131,50.5328
2023-01,65.6264,59.4277
2023-02,58.5742,54.8564
2023-03,48.1004,60.006
2023-04,54.9818,61.9344
2023-05,46.7781,62.0896
2023-06,45.7271,71.9711
2023-07,60.2744,76.904
2023-08,48.2811,73.3179
2023-09,45.9553,64.4308
2023-10,34.6946,60.2637
2023-11,52.2189,74.3036
2023-12,71.3493,81.5558
2024-01,69.9265,83.6948
2024-02,72.6899,92.4418
2024-03,84.6981,97.8859
2024-04,80.7387,89.1612
2024-05,93.7528,97.7957
2024-06,91.1724,103.9456
2024-07,114.1539,105.3805
2024-08,106.3258,105.1825
2024-09,99.3459,108.7418
2024-10,107.5923,105.866
2024-11,121.2244,111.6911
2024-12,108.4456,104.7706
2025-01,129.0526,105.8612
2025-02,122.0348,102.4101
2025-03,105.1679,92.6645
2025-04,74.1393,73.1455
