Date,rate_ISRG_5D,rate_VOO_20D
2015-01,0.0,-3.5197
2015-02,-2.5583,1.8044
2015-03,-1.5215,-0.4337
2015-04,-3.1188,0.3137
2015-05,-4.5392,1.1277
2015-06,-5.0093,-1.1499
2015-07,4.7599,0.7758
2015-08,-0.0185,-5.4229
2015-09,-10.2375,-7.1738
2015-10,-2.1169,1.0672
2015-11,2.4965,1.2476
2015-12,7.3687,-0.572
2016-01,5.5386,-4.925
2016-02,9.4233,-4.8231
2016-03,16.0525,1.7982
2016-04,19.861,1.9719
2016-05,20.1629,3.5419
2016-06,24.0477,3.6524
2016-07,29.1551,7.2416
2016-08,26.0411,7.0197
2016-09,31.725,6.6568
2016-10,20.8867,4.4599
2016-11,14.8659,8.0958
2016-12,12.6255,9.9999
2017-01,22.4037,11.4564
2017-02,29.3,15.2492
2017-03,33.215,14.8019
2017-04,43.9991,15.441
2017-05,55.7056,16.5118
2017-06,57.2365,16.6668
2017-07,55.7844,18.4843
2017-08,64.8891,18.2445
2017-09,69.6394,20.0845
2017-10,80.397,22.2583
2017-11,89.7216,25.3046
2017-12,71.2264,26.2059
2018-01,100.0875,32.449
2018-02,89.4119,26.7739
2018-03,81.278,23.0189
2018-04,91.4212,22.8575
2018-05,97.2974,25.2441
2018-06,102.8986,25.5573
2018-07,112.8954,29.3514
2018-08,131.6704,32.7978
2018-09,134.5239,32.8363
2018-10,110.331,23.2702
2018-11,111.8949,25.0563
2018-12,89.0291,13.5319
2019-01,104.7115,22.1943
2019-02,111.856,25.7013
2019-03,118.4425,27.5721
2019-04,93.4851,32.1369
2019-05,74.6391,23.323
2019-06,95.4542,31.3236
2019-07,91.8632,32.644
2019-08,87.2916,29.9311
2019-09,96.2224,31.9602
2019-10,99.3141,34.2575
2019-11,111.9043,38.4965
2019-12,109.4572,41.933
2020-01,96.619,41.1927
2020-02,86.0142,29.1327
2020-03,61.264,15.0941
2020-04,65.5343,29.6087
2020-05,86.817,35.3017
2020-06,82.2697,37.2398
2020-07,117.6258,44.6817
2020-08,130.2042,54.038
2020-09,121.6629,47.5315
2020-10,106.7842,43.1102
2020-11,123.2984,57.9789
2020-12,149.6202,63.0361
2021-01,126.3206,60.507
2021-02,121.3211,64.0387
2021-03,120.3586,70.5941
2021-04,156.0464,78.6176
2021-05,147.3343,78.7807
2021-06,167.994,81.7862
2021-07,186.5423,85.165
2021-08,202.0111,89.5209
2021-09,182.6298,79.652
2021-10,205.5794,91.2215
2021-11,172.2328,88.7203
2021-12,199.278,96.1753
2022-01,134.9373,84.8382
2022-02,138.3865,78.356
2022-03,146.0525,84.1718
2022-04,93.8633,67.1269
2022-05,93.5092,69.9248
2022-06,69.769,50.6444
2022-07,93.7605,63.8565
2022-08,72.3173,56.4409
2022-09,57.2734,41.6257
2022-10,96.746,52.5015
2022-11,114.7629,60.3073
2022-12,109.6205,50.5328
2023-01,93.2153,59.4277
2023-02,79.4057,54.8564
2023-03,98.8753,60.006
2023-04,133.3213,61.9344
2023-05,137.1046,62.0896
2023-06,161.7974,71.9711
2023-07,146.9133,76.904
2023-08,136.7127,73.3179
2023-09,120.0755,64.4308
2023-10,100.8557,60.2637
2023-11,128.1367,74.3036
2023-12,146.2966,81.5558
2024-01,174.5299,83.6948
2024-02,178.2632,92.4418
2024-03,186.2697,97.8859
2024-04,166.4137,89.1612
2024-05,183.387,97.7957
2024-06,211.6968,103.9456
2024-07,209.7213,105.3805
2024-08,241.1372,105.1825
2024-09,238.1601,108.7418
2024-10,223.318,105.866
2024-11,245.7756,111.6911
2024-12,231.9016,104.7706
2025-01,249.9723,105.8612
2025-02,235.653,102.4101
2025-03,205.2055,92.6645
2025-04,184.1544,73.1455
