Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,9,28,-19,0.01,-3.7,65.6,353.4
2016-2018,-5,15,-21,0.06,-1.8,71.1,288.1
2017-2019,-6,22,-28,-0.51,-1.1,71.1,294.8
2018-2020,-34,24,-57,-0.44,-2.4,78.8,174.2
2019-2021,-3,47,-49,-0.9,-2.2,78.8,258.5
2020-2022,48,-1,48,-0.05,17.5,81.8,466.0
2021-2023,39,1,37,0.48,13.5,81.8,422.4
2022-2024,7,21,-13,0.77,-7.2,81.8,454.5
2023-2025,-15,65,-80,1.26,-85.0,77.7,497.7
