Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,55,28,27,0.0,11.2,61.4,13.4
2016-2018,6,15,-9,0.08,-4.4,70.4,11.4
2017-2019,51,22,29,1.16,18.8,70.4,22.8
2018-2020,44,24,21,1.16,13.4,77.4,33.1
2019-2021,78,47,31,1.15,37.1,77.4,55.0
2020-2022,7,-1,8,0.98,9.6,80.4,48.2
2021-2023,-4,1,-6,0.92,-6.9,80.4,74.3
2022-2024,-14,21,-34,0.93,-40.3,80.4,80.6
2023-2025,122,64,58,0.91,92.8,78.7,146.7
