Date,rate_WWD_5D,rate_VOO_20D
2015-01,-3.0629,-3.5197
2015-02,6.0536,1.8044
2015-03,9.4353,-0.4337
2015-04,-0.7955,0.3137
2015-05,6.9082,1.1277
2015-06,14.0094,-1.1499
2015-07,2.0518,0.7758
2015-08,-5.8047,-5.4229
2015-09,-15.39,-7.1738
2015-10,-4.4277,1.0672
2015-11,6.3696,1.2476
2015-12,4.1802,-0.572
2016-01,-2.9078,-4.925
2016-02,-0.8631,-4.8231
2016-03,9.5784,1.7982
2016-04,13.1971,1.9719
2016-05,18.2482,3.5419
2016-06,18.6531,3.6524
2016-07,19.4349,7.2416
2016-08,27.0896,7.0197
2016-09,25.3374,6.6568
2016-10,17.2587,4.4599
2016-11,33.9281,8.0958
2016-12,35.0945,9.9999
2017-01,34.8023,11.4564
2017-02,35.2945,15.2492
2017-03,29.1292,14.8019
2017-04,27.6241,15.441
2017-05,27.7886,16.5118
2017-06,25.8242,16.6668
2017-07,29.2742,18.4843
2017-08,29.105,18.2445
2017-09,41.7469,20.0845
2017-10,39.9765,22.2583
2017-11,39.1088,25.3046
2017-12,36.6582,26.2059
2018-01,37.4034,32.449
2018-02,24.804,26.7739
2018-03,25.547,23.0189
2018-04,25.3654,22.8575
2018-05,31.5699,25.2441
2018-06,32.6987,25.5573
2018-07,42.772,29.3514
2018-08,37.6043,32.7978
2018-09,37.3115,32.8363
2018-10,24.5226,23.2702
2018-11,40.9687,25.0563
2018-12,24.4017,13.5319
2019-01,51.5644,22.1943
2019-02,59.9521,25.7013
2019-03,56.4398,27.5721
2019-04,78.1548,32.1369
2019-05,77.003,23.323
2019-06,82.3335,31.3236
2019-07,79.034,32.644
2019-08,71.3366,29.9311
2019-09,70.1147,31.9602
2019-10,67.1009,34.2575
2019-11,81.9474,38.4965
2019-12,83.1609,41.933
2020-01,78.4931,41.1927
2020-02,57.6069,29.1327
2020-03,2.0275,15.0941
2020-04,3.3149,29.6087
2020-05,17.1525,35.3017
2020-06,32.1384,37.2398
2020-07,27.1818,44.6817
2020-08,44.9222,54.038
2020-09,34.9675,47.5315
2020-10,33.4181,43.1102
2020-11,86.8352,57.9789
2020-12,101.716,63.0361
2021-01,84.6581,60.507
2021-02,87.3457,64.0387
2021-03,96.5818,70.5941
2021-04,102.3852,78.6176
2021-05,104.8338,78.7807
2021-06,96.6095,81.7862
2021-07,93.2934,85.165
2021-08,91.4174,89.5209
2021-09,78.1129,79.652
2021-10,76.7488,91.2215
2021-11,64.9005,88.7203
2021-12,69.8019,96.1753
2022-01,70.2238,84.8382
2022-02,91.707,78.356
2022-03,91.1162,84.1718
2022-04,67.7668,67.1269
2022-05,65.5179,69.9248
2022-06,50.007,50.6444
2022-07,69.1727,63.8565
2022-08,50.0078,56.4409
2022-09,29.0617,41.6257
2022-10,46.9163,52.5015
2022-11,53.2688,60.3073
2022-12,53.9988,50.5328
2023-01,62.3994,59.4277
2023-02,56.9825,54.8564
2023-03,53.903,60.006
2023-04,51.2281,61.9344
2023-05,65.7528,62.0896
2023-06,86.1704,71.9711
2023-07,87.6323,76.904
2023-08,101.0023,73.3179
2023-09,92.1415,64.4308
2023-10,89.0973,60.2637
2023-11,98.5971,74.3036
2023-12,99.0744,81.5558
2024-01,100.5442,83.6948
2024-02,105.3889,92.4418
2024-03,122.6793,97.8859
2024-04,117.641,89.1612
2024-05,149.1172,97.7957
2024-06,131.7785,103.9456
2024-07,106.2854,105.3805
2024-08,120.2285,105.1825
2024-09,125.6325,108.7418
2024-10,114.8722,105.866
2024-11,135.3855,111.6911
2024-12,116.2169,104.7706
2025-01,139.5522,105.8612
2025-02,139.5465,102.4101
2025-03,132.4971,92.6645
2025-04,103.2322,73.1455
