Date,rate_SPG_5D,rate_VOO_20D
2015-01,-2.8333,-3.5197
2015-02,-4.117,1.8044
2015-03,0.413,-0.4337
2015-04,-7.2613,0.3137
2015-05,-5.6561,1.1277
2015-06,-9.4065,-1.1499
2015-07,-1.0025,0.7758
2015-08,-3.8153,-5.4229
2015-09,-2.7659,-7.1738
2015-10,6.696,1.0672
2015-11,-0.4778,1.2476
2015-12,3.7629,-0.572
2016-01,-0.787,-4.925
2016-02,1.9132,-4.8231
2016-03,11.1101,1.7982
2016-04,6.9448,1.9719
2016-05,5.2889,3.5419
2016-06,15.1808,3.6524
2016-07,19.7165,7.2416
2016-08,13.7839,7.0197
2016-09,8.7042,6.6568
2016-10,-2.4936,4.4599
2016-11,-4.7802,8.0958
2016-12,-5.5952,9.9999
2017-01,-2.2609,11.4564
2017-02,-0.9422,15.2492
2017-03,-7.5284,14.8019
2017-04,-10.9727,15.441
2017-05,-15.5606,16.5118
2017-06,-10.959,16.6668
2017-07,-12.4915,18.4843
2017-08,-12.1646,18.2445
2017-09,-9.5119,20.0845
2017-10,-12.483,22.2583
2017-11,-7.6073,25.3046
2017-12,-1.7176,26.2059
2018-01,-6.4863,32.449
2018-02,-10.7924,26.7739
2018-03,-10.0683,23.0189
2018-04,-8.7065,22.8575
2018-05,-5.098,25.2441
2018-06,0.9071,25.5573
2018-07,4.3719,29.3514
2018-08,9.4779,32.7978
2018-09,5.529,32.8363
2018-10,9.4775,23.2702
2018-11,11.7743,25.0563
2018-12,0.8692,13.5319
2019-01,9.2403,22.1943
2019-02,9.7237,25.7013
2019-03,10.196,27.5721
2019-04,4.852,32.1369
2019-05,-1.1346,23.323
2019-06,-2.5602,31.3236
2019-07,-1.0923,32.644
2019-08,-7.8376,29.9311
2019-09,-3.5669,31.9602
2019-10,-6.5285,34.2575
2019-11,-4.8441,38.4965
2019-12,-6.138,41.933
2020-01,-15.9765,41.1927
2020-02,-21.0042,29.1327
2020-03,-63.7354,15.0941
2020-04,-55.0682,29.6087
2020-05,-60.3803,35.3017
2020-06,-52.1062,37.2398
2020-07,-54.677,44.6817
2020-08,-49.7903,54.038
2020-09,-51.4506,47.5315
2020-10,-51.3483,43.1102
2020-11,-35.4925,57.9789
2020-12,-31.8631,63.0361
2021-01,-25.439,60.507
2021-02,-9.1561,64.0387
2021-03,-8.3694,70.5941
2021-04,-0.8316,78.6176
2021-05,4.6506,78.7807
2021-06,6.1505,81.7862
2021-07,3.9906,85.165
2021-08,10.4495,89.5209
2021-09,7.831,79.652
2021-10,21.4464,91.2215
2021-11,26.336,88.7203
2021-12,33.0909,96.1753
2022-01,22.2612,84.8382
2022-02,14.0427,78.356
2022-03,10.2818,84.1718
2022-04,-1.2004,67.1269
2022-05,-6.9272,69.9248
2022-06,-23.5083,50.6444
2022-07,-12.1787,63.8565
2022-08,-17.4383,56.4409
2022-09,-25.802,41.6257
2022-10,-9.7638,52.5015
2022-11,-1.0357,60.3073
2022-12,-1.1533,50.5328
2023-01,8.0124,59.4277
2023-02,2.5726,54.8564
2023-03,-4.4804,60.006
2023-04,-3.2931,61.9344
2023-05,-10.2341,62.0896
2023-06,0.3161,71.9711
2023-07,8.2112,76.904
2023-08,-1.4173,73.3179
2023-09,-4.6103,64.4308
2023-10,-2.9241,60.2637
2023-11,10.3228,74.3036
2023-12,27.6767,81.5558
2024-01,23.8521,83.6948
2024-02,32.016,92.4418
2024-03,40.933,97.8859
2024-04,26.3016,89.1612
2024-05,35.7184,97.7957
2024-06,37.6296,103.9456
2024-07,38.7943,105.3805
2024-08,42.971,105.1825
2024-09,45.8579,108.7418
2024-10,46.6085,105.866
2024-11,52.9768,111.6911
2024-12,44.0533,104.7706
2025-01,43.6428,105.8612
2025-02,53.3625,102.4101
2025-03,38.2497,92.6645
2025-04,19.0514,73.1455
