Date,rate_TSLA_5D,rate_VOO_20D
2015-01,-1.9117,-3.5197
2015-02,-2.7232,1.8044
2015-03,-8.8597,-0.4337
2015-04,9.4417,0.3137
2015-05,19.5841,1.1277
2015-06,24.1567,-1.1499
2015-07,20.0816,0.7758
2015-08,10.6808,-5.4229
2015-09,9.7094,-7.1738
2015-10,-7.8115,1.0672
2015-11,2.6176,1.2476
2015-12,6.479,-0.572
2016-01,-15.1363,-4.925
2016-02,-12.8521,-4.8231
2016-03,5.4652,1.7982
2016-04,9.7132,1.9719
2016-05,1.7894,3.5419
2016-06,-3.2343,3.6524
2016-07,7.07,7.2416
2016-08,-3.5488,7.0197
2016-09,-6.9242,6.6568
2016-10,-9.7172,4.4599
2016-11,-13.0157,8.0958
2016-12,-1.1124,9.9999
2017-01,16.5413,11.4564
2017-02,14.785,15.2492
2017-03,26.9902,14.8019
2017-04,41.9763,15.441
2017-05,52.3883,16.5118
2017-06,59.7878,16.6668
2017-07,41.4083,18.4843
2017-08,53.9601,18.2445
2017-09,45.9637,20.0845
2017-10,40.4742,22.2583
2017-11,29.9735,25.3046
2017-12,30.2159,26.2059
2018-01,47.0389,32.449
2018-02,37.2255,26.7739
2018-03,5.7938,23.0189
2018-04,16.3657,22.8575
2018-05,12.302,25.2441
2018-06,34.8301,25.5573
2018-07,16.8274,29.3514
2018-08,17.1431,32.7978
2018-09,2.529,32.8363
2018-10,30.1325,23.2702
2018-11,34.5019,25.0563
2018-12,26.9567,13.5319
2019-01,16.588,22.1943
2019-02,21.0827,25.7013
2019-03,5.7164,27.5721
2019-04,-9.9874,32.1369
2019-05,-30.0828,23.323
2019-06,-15.1935,31.3236
2019-07,-8.054,32.644
2019-08,-13.9022,29.9311
2019-09,-7.8274,31.9602
2019-10,20.6354,34.2575
2019-11,26.0277,38.4965
2019-12,58.9516,41.933
2020-01,145.6246,41.1927
2020-02,149.6363,29.1327
2020-03,97.6626,15.0941
2020-04,193.0605,29.6087
2020-05,210.0176,35.3017
2020-06,296.7309,37.2398
2020-07,419.7868,44.6817
2020-08,793.9529,54.038
2020-09,659.9256,47.5315
2020-10,578.8969,43.1102
2020-11,881.0368,57.9789
2020-12,1104.6232,63.0361
2021-01,1237.7318,60.507
2021-02,1024.9317,64.0387
2021-03,998.9061,70.5941
2021-04,1053.4145,78.6176
2021-05,904.7676,78.7807
2021-06,979.8584,81.7862
2021-07,979.3857,85.165
2021-08,1042.5875,89.5209
2021-09,1090.9159,79.652
2021-10,1591.8002,91.2215
2021-11,1618.9739,88.7203
2021-12,1469.3383,96.1753
2022-01,1275.7589,84.8382
2022-02,1164.7842,78.356
2022-03,1449.4588,84.1718
2022-04,1138.9342,67.1269
2022-05,1080.948,69.9248
2022-06,938.2874,50.6444
2022-07,1260.8833,63.8565
2022-08,1149.7017,56.4409
2022-09,1114.504,41.6257
2022-10,1049.5072,52.5015
2022-11,874.2663,60.3073
2022-12,510.6981,50.5328
2023-01,751.4793,59.4277
2023-02,902.092,54.8564
2023-03,901.581,60.006
2023-04,686.2759,61.9344
2023-05,867.468,62.0896
2023-06,1130.9883,71.9711
2023-07,1146.4705,76.904
2023-08,1092.5808,73.3179
2023-09,1046.3105,64.4308
2023-10,922.9012,60.2637
2023-11,1043.3984,74.3036
2023-12,1073.4911,81.5558
2024-01,777.4185,83.6948
2024-02,838.1404,92.4418
2024-03,710.3788,97.8859
2024-04,738.3461,89.1612
2024-05,708.2813,97.7957
2024-06,791.2876,103.9456
2024-07,937.204,105.3805
2024-08,783.6302,105.1825
2024-09,971.6304,108.7418
2024-10,864.0255,105.866
2024-11,1221.7819,111.6911
2024-12,1490.6749,104.7706
2025-01,1479.6007,105.8612
2025-02,1300.8674,102.4101
2025-03,1275.4959,92.6645
2025-04,1129.0039,73.1455
