Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,4,9,-4,0.98,,15.4,129.7
2017-2019,16,25,-9,0.98,-0.0,15.4,152.2
2018-2020,18,24,-5,0.94,-0.0,27.2,185.9
2019-2021,63,64,-1,0.91,-0.0,27.2,250.6
2020-2022,43,5,39,0.9,0.3,35.2,234.8
2021-2023,65,18,47,0.9,0.4,35.2,302.9
2022-2024,129,29,100,1.01,0.9,23.2,478.8
2023-2025,152,75,76,1.38,1.2,45.2,560.0
