Date,rate_JNJ_5D,rate_VOO_20D
2015-01,0.0,-3.5197
2015-02,1.9808,1.8044
2015-03,-0.6987,-0.4337
2015-04,-2.2759,0.3137
2015-05,-0.7279,1.1277
2015-06,-3.3573,-1.1499
2015-07,-0.5527,0.7758
2015-08,-5.9493,-5.4229
2015-09,-5.9637,-7.1738
2015-10,2.2861,1.0672
2015-11,2.9207,1.2476
2015-12,3.8627,-0.572
2016-01,5.3944,-4.925
2016-02,6.5429,-4.8231
2016-03,8.9904,1.7982
2016-04,12.1623,1.9719
2016-05,12.818,3.5419
2016-06,20.4186,3.6524
2016-07,23.2346,7.2416
2016-08,17.3599,7.0197
2016-09,15.3255,6.6568
2016-10,12.5458,4.4599
2016-11,8.2498,8.0958
2016-12,11.5341,9.9999
2017-01,9.1632,11.4564
2017-02,18.1721,15.2492
2017-03,19.5718,14.8019
2017-04,17.8959,15.441
2017-05,22.586,16.5118
2017-06,25.6609,16.6668
2017-07,25.1511,18.4843
2017-08,24.8175,18.2445
2017-09,21.8401,20.0845
2017-10,29.8887,22.2583
2017-11,29.7458,25.3046
2017-12,29.2753,26.2059
2018-01,26.9995,32.449
2018-02,19.5747,26.7739
2018-03,17.5379,23.0189
2018-04,15.5356,22.8575
2018-05,9.7019,25.2441
2018-06,11.0006,25.5573
2018-07,20.9303,29.3514
2018-08,23.2385,32.7978
2018-09,25.8486,32.8363
2018-10,26.9262,23.2702
2018-11,33.4209,25.0563
2018-12,16.6141,13.5319
2019-01,19.8867,22.1943
2019-02,23.4788,25.7013
2019-03,25.8283,27.5721
2019-04,26.6133,32.1369
2019-05,17.9341,23.323
2019-06,24.7808,31.3236
2019-07,16.3781,32.644
2019-08,15.2508,29.9311
2019-09,15.8868,31.9602
2019-10,17.9487,34.2575
2019-11,23.3534,38.4965
2019-12,30.4501,41.933
2020-01,32.5828,41.1927
2020-02,20.0261,29.1327
2020-03,18.0509,15.0941
2020-04,34.7715,29.6087
2020-05,34.016,35.3017
2020-06,26.3919,37.2398
2020-07,30.4974,44.6817
2020-08,37.7348,54.038
2020-09,33.1582,47.5315
2020-10,22.214,43.1102
2020-11,29.4277,57.9789
2020-12,40.3065,63.0361
2021-01,44.8632,60.507
2021-02,41.0425,64.0387
2021-03,45.6728,70.5941
2021-04,43.6564,78.6176
2021-05,49.7076,78.7807
2021-06,45.135,81.7862
2021-07,51.0957,85.165
2021-08,52.1681,89.5209
2021-09,41.4472,79.652
2021-10,42.1579,91.2215
2021-11,36.4965,88.7203
2021-12,49.2099,96.1753
2022-01,49.6884,84.8382
2022-02,43.354,78.356
2022-03,53.813,84.1718
2022-04,55.9871,67.1269
2022-05,52.6727,69.9248
2022-06,50.3901,50.6444
2022-07,47.2998,63.8565
2022-08,36.6182,56.4409
2022-09,37.9115,41.6257
2022-10,46.4192,52.5015
2022-11,50.2805,60.3073
2022-12,48.6175,50.5328
2023-01,37.0081,59.4277
2023-02,29.1201,54.8564
2023-03,30.2701,60.006
2023-04,37.243,61.9344
2023-05,30.6821,62.0896
2023-06,39.123,71.9711
2023-07,40.4382,76.904
2023-08,36.1354,73.3179
2023-09,30.7955,64.4308
2023-10,24.285,60.2637
2023-11,30.3529,74.3036
2023-12,31.8063,81.5558
2024-01,33.3069,83.6948
2024-02,36.1019,92.4418
2024-03,33.0891,97.8859
2024-04,21.4271,89.1612
2024-05,23.9321,97.7957
2024-06,23.2829,103.9456
2024-07,32.9195,105.3805
2024-08,40.4039,105.1825
2024-09,36.8543,108.7418
2024-10,34.6782,105.866
2024-11,31.3802,111.6911
2024-12,22.3354,104.7706
2025-01,28.5073,105.8612
2025-02,40.2323,102.4101
2025-03,38.7254,92.6645
2025-04,33.3536,73.1455
