Date,rate_PG_5D,rate_VOO_20D
2015-01,-8.2396,-3.5197
2015-02,-5.384,1.8044
2015-03,-7.7941,-0.4337
2015-04,-8.483,0.3137
2015-05,-8.7399,1.1277
2015-06,-7.954,-1.1499
2015-07,-8.3549,0.7758
2015-08,-13.8072,-5.4229
2015-09,-10.6081,-7.1738
2015-10,-3.2833,1.0672
2015-11,-5.025,1.2476
2015-12,0.8143,-0.572
2016-01,4.69,-4.925
2016-02,2.6036,-4.8231
2016-03,4.7703,1.7982
2016-04,2.4181,1.9719
2016-05,3.3447,3.5419
2016-06,7.7038,3.6524
2016-07,9.2991,7.2416
2016-08,10.9506,7.0197
2016-09,13.4399,6.6568
2016-10,10.0211,4.4599
2016-11,4.11,8.0958
2016-12,5.9385,9.9999
2017-01,10.9781,11.4564
2017-02,14.9397,15.2492
2017-03,12.8379,14.8019
2017-04,10.0282,15.441
2017-05,10.6724,16.5118
2017-06,9.1347,16.6668
2017-07,14.2468,18.4843
2017-08,15.6056,18.2445
2017-09,13.4581,20.0845
2017-10,8.0429,22.2583
2017-11,12.3182,25.3046
2017-12,14.31,26.2059
2018-01,7.856,32.449
2018-02,-1.9383,26.7739
2018-03,-0.9847,23.0189
2018-04,-8.7478,22.8575
2018-05,-7.5037,25.2441
2018-06,-1.1637,25.5573
2018-07,3.3447,29.3514
2018-08,5.9072,32.7978
2018-09,6.0977,32.8363
2018-10,13.7642,23.2702
2018-11,20.8979,25.0563
2018-12,17.1195,13.5319
2019-01,23.5083,22.1943
2019-02,25.6692,25.7013
2019-03,32.0733,27.5721
2019-04,35.4835,32.1369
2019-05,30.2696,23.323
2019-06,38.1001,31.3236
2019-07,48.7986,32.644
2019-08,50.6971,29.9311
2019-09,54.9651,31.9602
2019-10,55.1769,34.2575
2019-11,51.2227,38.4965
2019-12,53.8636,41.933
2020-01,53.5369,41.1927
2020-02,38.703,29.1327
2020-03,33.3951,15.0941
2020-04,43.3156,29.6087
2020-05,40.3165,35.3017
2020-06,44.0851,37.2398
2020-07,58.2581,44.6817
2020-08,66.0574,54.038
2020-09,65.8945,47.5315
2020-10,63.6005,43.1102
2020-11,64.7552,57.9789
2020-12,64.1858,63.0361
2021-01,51.4135,60.507
2021-02,45.2209,64.0387
2021-03,58.504,70.5941
2021-04,56.4022,78.6176
2021-05,57.3007,78.7807
2021-06,56.6576,81.7862
2021-07,65.4073,85.165
2021-08,64.7817,89.5209
2021-09,60.9812,79.652
2021-10,64.8893,91.2215
2021-11,65.9377,88.7203
2021-12,86.7797,96.1753
2022-01,83.1995,84.8382
2022-02,77.0398,78.356
2022-03,72.7138,84.1718
2022-04,81.5998,67.1269
2022-05,70.4118,69.9248
2022-06,61.9628,50.6444
2022-07,56.8093,63.8565
2022-08,55.0541,56.4409
2022-09,41.4697,41.6257
2022-10,51.4688,52.5015
2022-11,67.1588,60.3073
2022-12,69.1378,50.5328
2023-01,59.2834,59.4277
2023-02,53.3383,54.8564
2023-03,65.1606,60.006
2023-04,74.0953,61.9344
2023-05,57.9857,62.0896
2023-06,67.5991,71.9711
2023-07,73.0358,76.904
2023-08,70.175,73.3179
2023-09,60.1966,64.4308
2023-10,65.2276,60.2637
2023-11,68.4483,74.3036
2023-12,60.1948,81.5558
2024-01,72.2513,83.6948
2024-02,73.5495,92.4418
2024-03,76.4721,97.8859
2024-04,77.9891,89.1612
2024-05,78.7458,97.7957
2024-06,78.4532,103.9456
2024-07,74.3104,105.3805
2024-08,85.2693,105.1825
2024-09,86.3122,108.7418
2024-10,78.0303,105.866
2024-11,92.4832,111.6911
2024-12,79.3164,104.7706
2025-01,77.9861,105.8612
2025-02,85.7204,102.4101
2025-03,79.6764,92.6645
2025-04,67.2211,73.1455
