Date,rate_SNOW_5D,rate_VOO_20D
2020-09,0.0,-1.1185
2020-10,3.528,-5.5398
2020-11,31.444,9.329
2020-12,9.3883,14.3861
2021-01,4.9894,11.8571
2021-02,-3.4948,15.3888
2021-03,-13.2372,21.9441
2021-04,-11.2802,29.9677
2021-05,-7.4337,30.1307
2021-06,-5.4653,33.1363
2021-07,3.4336,36.5151
2021-08,17.9068,40.871
2021-09,15.94,31.002
2021-10,33.5292,42.5716
2021-11,26.243,40.0703
2021-12,23.6073,47.5253
2022-01,0.6474,36.1882
2022-02,-3.4472,29.706
2022-03,-15.7744,35.5218
2022-04,-36.3068,18.4769
2022-05,-47.0329,21.2749
2022-06,-43.3173,1.9944
2022-07,-37.1722,15.2066
2022-08,-22.5185,7.7909
2022-09,-25.9209,-7.0243
2022-10,-37.1551,3.8516
2022-11,-42.7636,11.6574
2022-12,-41.275,1.8828
2023-01,-34.4511,10.7778
2023-02,-34.3962,6.2064
2023-03,-33.0734,11.3561
2023-04,-34.7247,13.2845
2023-05,-25.9705,13.4396
2023-06,-20.7185,23.3211
2023-07,-19.4549,28.254
2023-08,-28.0614,24.6679
2023-09,-29.2314,15.7809
2023-10,-31.671,11.6138
2023-11,-15.8381,25.6536
2023-12,-10.3621,32.9059
2024-01,-11.7179,35.0448
2024-02,-15.0475,43.7918
2024-03,-26.4309,49.2359
2024-04,-28.7697,40.5112
2024-05,-36.9324,49.1458
2024-06,-36.5478,55.2957
2024-07,-38.1363,56.7306
2024-08,-46.6078,56.5325
2024-09,-45.3771,60.0919
2024-10,-44.2515,57.2161
2024-11,-16.9474,63.0411
2024-12,-23.8757,56.1207
2025-01,-15.4698,57.2112
2025-02,-17.2863,53.7602
2025-03,-26.8163,44.0145
2025-04,-33.7732,24.4956
