Date,rate_BKNG_5D,rate_VOO_20D
2015-01,0.0,-3.5197
2015-02,12.8424,1.8044
2015-03,4.332,-0.4337
2015-04,8.6208,0.3137
2015-05,1.2856,1.1277
2015-06,-0.3585,-1.1499
2015-07,7.6823,0.7758
2015-08,7.2188,-5.4229
2015-09,5.2238,-7.1738
2015-10,21.792,1.0672
2015-11,3.0213,1.2476
2015-12,4.7749,-0.572
2016-01,-10.4025,-4.925
2016-02,6.0426,-4.8231
2016-03,7.3717,1.7982
2016-04,11.1054,1.9719
2016-05,4.3025,3.5419
2016-06,2.8328,3.6524
2016-07,10.3608,7.2416
2016-08,15.0893,7.0197
2016-09,18.5891,6.6568
2016-10,17.8956,4.4599
2016-11,18.9954,8.0958
2016-12,15.4074,9.9999
2017-01,22.8777,11.4564
2017-02,33.4645,15.2492
2017-03,36.412,14.8019
2017-04,40.0598,15.441
2017-05,40.9203,16.5118
2017-06,39.0441,16.6668
2017-07,49.056,18.4843
2017-08,34.859,18.2445
2017-09,32.3493,20.0845
2017-10,37.0565,22.2583
2017-11,24.1947,25.3046
2017-12,23.3925,26.2059
2018-01,34.8825,32.449
2018-02,42.3422,26.7739
2018-03,44.482,23.0189
2018-04,49.991,22.8575
2018-05,44.0536,25.2441
2018-06,37.57,25.5573
2018-07,36.8224,29.3514
2018-08,30.9052,32.7978
2018-09,32.4321,32.8363
2018-10,24.6031,23.2702
2018-11,25.1675,25.0563
2018-12,13.7068,13.5319
2019-01,20.6437,22.1943
2019-02,11.5488,25.7013
2019-03,14.2587,27.5721
2019-04,20.975,32.1369
2019-05,8.2068,23.323
2019-06,21.781,31.3236
2019-07,22.1488,32.644
2019-08,26.8151,29.9311
2019-09,26.1129,31.9602
2019-10,31.0526,34.2575
2019-11,21.4673,38.4965
2019-12,30.5993,41.933
2020-01,16.2189,41.1927
2020-02,7.2704,29.1327
2020-03,-14.0932,15.0941
2020-04,-5.1292,29.6087
2020-05,4.9478,35.3017
2020-06,1.8265,37.2398
2020-07,6.1651,44.6817
2020-08,21.5944,54.038
2020-09,8.8648,47.5315
2020-10,3.2009,43.1102
2020-11,28.5992,57.9789
2020-12,40.6003,63.0361
2021-01,22.3455,60.507
2021-02,45.8625,64.0387
2021-03,45.3404,70.5941
2021-04,53.0352,78.6176
2021-05,45.9922,78.7807
2021-06,34.7945,81.7862
2021-07,33.764,85.165
2021-08,40.7563,89.5209
2021-09,44.7347,79.652
2021-10,46.9911,91.2215
2021-11,27.0287,88.7203
2021-12,44.3605,96.1753
2022-01,47.2179,84.8382
2022-02,29.8911,78.356
2022-03,40.0024,84.1718
2022-04,31.4156,67.1269
2022-05,34.272,69.9248
2022-06,12.2927,50.6444
2022-07,24.0611,63.8565
2022-08,20.0016,56.4409
2022-09,5.7774,41.6257
2022-10,17.8521,52.5015
2022-11,30.9486,60.3073
2022-12,26.6378,50.5328
2023-01,52.5489,59.4277
2023-02,57.5873,54.8564
2023-03,64.8867,60.006
2023-04,66.3104,61.9344
2023-05,54.8132,62.0896
2023-06,65.8711,71.9711
2023-07,81.6696,76.904
2023-08,88.9849,73.3179
2023-09,86.8865,64.4308
2023-10,75.7089,60.2637
2023-11,92.5769,74.3036
2023-12,117.3573,81.5558
2024-01,113.8955,83.6948
2024-02,110.3891,92.4418
2024-03,119.5132,97.8859
2024-04,103.3055,89.1612
2024-05,121.3024,97.7957
2024-06,131.4721,103.9456
2024-07,116.1872,105.3805
2024-08,126.4672,105.1825
2024-09,143.305,108.7418
2024-10,168.5244,105.866
2024-11,196.8013,111.6911
2024-12,182.1431,104.7706
2025-01,174.4567,105.8612
2025-02,189.1593,102.4101
2025-03,162.4048,92.6645
2025-04,141.5088,73.1455
