Date,rate_WMT_5D,rate_VOO_20D
2015-01,-4.5671,-3.5197
2015-02,-3.8258,1.8044
2015-03,-4.3983,-0.4337
2015-04,-8.1601,0.3137
2015-05,-10.9459,1.1277
2015-06,-13.2789,-1.1499
2015-07,-10.5427,0.7758
2015-08,-18.2555,-5.4229
2015-09,-16.5855,-7.1738
2015-10,-24.9893,1.0672
2015-11,-20.9618,1.2476
2015-12,-15.3394,-0.572
2016-01,-7.2312,-4.925
2016-02,-6.9233,-4.8231
2016-03,-2.9414,1.7982
2016-04,-5.1416,1.9719
2016-05,1.1161,3.5419
2016-06,4.2478,3.6524
2016-07,3.9537,7.2416
2016-08,2.1796,7.0197
2016-09,2.9305,6.6568
2016-10,-0.2051,4.4599
2016-11,0.41,8.0958
2016-12,-0.8009,9.9999
2017-01,-4.053,11.4564
2017-02,2.117,15.2492
2017-03,4.4639,14.8019
2017-04,8.7897,15.441
2017-05,14.1684,16.5118
2017-06,9.4258,16.6668
2017-07,15.3001,18.4843
2017-08,12.7532,18.2445
2017-09,12.4042,20.0845
2017-10,25.0879,22.2583
2017-11,38.3819,25.3046
2017-12,40.1694,26.2059
2018-01,49.9214,32.449
2018-02,33.5378,26.7739
2018-03,33.3955,23.0189
2018-04,31.9051,22.8575
2018-05,23.1572,25.2441
2018-06,27.1446,25.5573
2018-07,31.8508,29.3514
2018-08,41.716,32.7978
2018-09,37.99,32.8363
2018-10,46.3732,23.2702
2018-11,41.5788,25.0563
2018-12,35.0754,13.5319
2019-01,38.2242,22.1943
2019-02,41.9531,25.7013
2019-03,39.7805,27.5721
2019-04,46.5548,32.1369
2019-05,44.4648,23.323
2019-06,56.4526,31.3236
2019-07,55.2183,32.644
2019-08,60.3969,29.9311
2019-09,65.5043,31.9602
2019-10,62.3974,34.2575
2019-11,63.8362,38.4965
2019-12,63.1574,41.933
2020-01,56.2265,41.1927
2020-02,46.0776,29.1327
2020-03,48.2694,15.0941
2020-04,52.1898,29.6087
2020-05,55.1668,35.3017
2020-06,49.0754,37.2398
2020-07,60.2585,44.6817
2020-08,71.6404,54.038
2020-09,71.8296,47.5315
2020-10,69.3626,43.1102
2020-11,85.356,57.9789
2020-12,74.4037,63.0361
2021-01,68.9754,60.507
2021-02,55.3688,64.0387
2021-03,62.3187,70.5941
2021-04,66.3549,78.6176
2021-05,68.6491,78.7807
2021-06,66.5841,81.7862
2021-07,67.5585,85.165
2021-08,73.8473,89.5209
2021-09,62.8387,79.652
2021-10,73.7442,91.2215
2021-11,62.6922,88.7203
2021-12,67.2639,96.1753
2022-01,60.862,84.8382
2022-02,54.8217,78.356
2022-03,70.5377,84.1718
2022-04,73.8391,67.1269
2022-05,62.2461,69.9248
2022-06,55.1641,50.6444
2022-07,67.8556,63.8565
2022-08,68.4797,56.4409
2022-09,63.8842,41.6257
2022-10,75.0218,52.5015
2022-11,86.5923,60.3073
2022-12,73.3897,50.5328
2023-01,75.133,59.4277
2023-02,72.2551,54.8564
2023-03,78.6926,60.006
2023-04,82.1466,61.9344
2023-05,77.1106,62.0896
2023-06,88.6864,71.9711
2023-07,91.0246,76.904
2023-08,94.1162,73.3179
2023-09,90.0456,64.4308
2023-10,93.3067,60.2637
2023-11,83.3389,74.3036
2023-12,85.568,81.5558
2024-01,93.6819,83.6948
2024-02,105.1593,92.4418
2024-03,110.3629,97.8859
2024-04,106.5281,89.1612
2024-05,128.5593,97.7957
2024-06,134.1797,103.9456
2024-07,136.192,105.3805
2024-08,165.1248,105.1825
2024-09,175.7464,108.7418
2024-10,168.4596,105.866
2024-11,201.4085,111.6911
2024-12,199.6293,104.7706
2025-01,215.5798,105.8612
2025-02,206.9683,102.4101
2025-03,196.1998,92.6645
2025-04,181.2999,73.1455
