Date,rate_XRP-USD_5D,rate_VOO_20D
2017-11,4.509,3.1372
2017-12,802.2353,4.0385
2018-01,280.1737,10.2816
2018-02,154.7473,4.6065
2018-03,28.4807,0.8515
2018-04,104.207,0.6901
2018-05,43.1353,3.0767
2018-06,1.4498,3.3899
2018-07,-3.3844,7.184
2018-08,-25.5229,10.6304
2018-09,22.6134,10.669
2018-10,0.0874,1.1028
2018-11,-19.3039,2.8889
2018-12,-19.5859,-8.6354
2019-01,-28.4463,0.0269
2019-02,-25.5826,3.5339
2019-03,-25.9471,5.4047
2019-04,-24.8814,9.9695
2019-05,8.3468,1.1556
2019-06,5.2407,9.1562
2019-07,-19.9637,10.4766
2019-08,-35.3896,7.7637
2019-09,-34.0387,9.7928
2019-10,-22.0982,12.0901
2019-11,-38.9702,16.3291
2019-12,-47.5694,19.7656
2020-01,-32.8839,19.0253
2020-02,-32.636,6.9653
2020-03,-41.8638,-7.0733
2020-04,-27.5407,7.4413
2020-05,-31.7472,13.1343
2020-06,-38.7936,15.0724
2020-07,-8.5282,22.5143
2020-08,-0.5767,31.8706
2020-09,-14.4047,25.3641
2020-10,-14.9138,20.9428
2020-11,136.8397,35.8115
2020-12,-22.7178,40.8687
2021-01,-1.1297,38.3396
2021-02,49.0619,41.8713
2021-03,98.0261,48.4267
2021-04,442.825,56.4502
2021-05,202.283,56.6133
2021-06,133.1841,59.6188
2021-07,145.3483,62.9976
2021-08,282.6248,67.3535
2021-09,202.6142,57.4846
2021-10,238.4347,69.0541
2021-11,208.0386,66.5529
2021-12,153.3522,74.0079
2022-01,86.614,62.6708
2022-02,133.597,56.1886
2022-03,140.6761,62.0044
2022-04,78.7928,44.9595
2022-05,23.0156,47.7574
2022-06,-3.5925,28.477
2022-07,7.403,41.6891
2022-08,-4.648,34.2735
2022-09,39.5618,19.4583
2022-10,28.2142,30.3341
2022-11,10.1475,38.1399
2022-12,-7.1274,28.3654
2023-01,9.4962,37.2604
2023-02,1.5035,32.689
2023-03,44.8161,37.8386
2023-04,28.6167,39.767
2023-05,38.2062,39.9222
2023-06,26.1389,49.8037
2023-07,85.2529,54.7366
2023-08,34.8852,51.1505
2023-09,37.303,42.2635
2023-10,57.3755,38.0963
2023-11,58.1646,52.1362
2023-12,61.7339,59.3885
2024-01,30.1453,61.5274
2024-02,51.0838,70.2744
2024-03,60.1951,75.7185
2024-04,23.1479,66.9938
2024-05,27.1671,75.6283
2024-06,15.3903,81.7782
2024-07,52.6198,83.2131
2024-08,38.2477,83.0151
2024-09,48.5766,86.5744
2024-10,20.2546,83.6987
2024-11,306.5752,89.5237
2024-12,399.5195,82.6032
2025-01,502.6114,83.6938
2025-02,360.8765,80.2427
2025-03,248.5639,70.4971
2025-04,235.2853,50.9781
