Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2015-2017,27,33,-6,-0.04,-3.1,7.9,181.9
2016-2018,8,21,-13,0.11,-5.2,56.9,188.4
2017-2019,37,34,4,0.35,1.6,56.9,263.2
2018-2020,52,30,21,0.32,9.3,59.2,300.5
2019-2021,71,60,11,0.33,20.0,59.2,362.1
2020-2022,32,9,23,0.31,46.5,74.7,343.9
2021-2023,34,20,14,0.33,32.9,74.7,340.9
2022-2024,9,20,-12,0.27,-32.1,74.7,399.7
2023-2025,3,11,-8,0.16,-24.1,70.5,400.1
