Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,-52,15,-67,1.2,-2.5,75.2,0.8
2017-2019,5,22,-18,0.99,-0.7,75.2,1.4
2018-2020,38,24,14,1.1,2.2,77.9,1.9
2019-2021,75,47,28,1.14,4.4,77.9,2.6
2020-2022,167,-1,167,1.24,103.1,80.6,4.9
2021-2023,444,1,443,1.49,291.0,80.6,17.0
2022-2024,393,21,372,1.83,264.2,80.6,18.2
2023-2025,141,66,76,2.38,63.7,79.1,17.5
