Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,14,4,11,1.06,0.0,14.6,104.8
2017-2019,41,17,24,0.92,0.0,12.4,129.8
2018-2020,8,21,-13,0.82,-0.0,17.7,123.8
2019-2021,15,43,-28,0.77,-0.1,17.7,121.1
2020-2022,15,-2,17,0.64,0.1,15.5,141.4
2021-2023,19,1,19,0.42,0.1,15.3,155.1
2022-2024,12,19,-8,0.43,-0.1,21.0,140.3
2023-2025,38,62,-24,0.51,-0.4,21.0,176.2
