Year,CAGR,S&P,Alpha,Beta,Sharp,MDD,Cap(B)
2016-2018,26,12,14,0.87,,24.1,27.1
2017-2019,52,25,27,0.95,0.1,24.1,37.9
2018-2020,29,24,5,1.11,0.0,50.6,39.9
2019-2021,5,65,-60,1.17,-0.4,50.6,37.2
2020-2022,-12,7,-19,1.16,-0.1,50.6,37.8
2021-2023,20,21,-1,1.1,-0.0,37.7,45.0
2022-2024,55,30,25,0.98,0.1,33.3,49.2
2023-2025,58,75,-17,0.74,-0.3,20.1,58.6
