Date,rate_RKLB_5D,rate_VOO_20D
2020-11,0.0,-0.5215
2020-12,-2.3265,4.5356
2021-01,-0.2038,2.0066
2021-02,-1.9568,5.5383
2021-03,8.4569,12.0937
2021-04,-3.5744,20.1172
2021-05,-6.6207,20.2802
2021-06,2.5578,23.2858
2021-07,-4.5651,26.6646
2021-08,-6.3196,31.0205
2021-09,49.5592,21.1515
2021-10,27.9166,32.7211
2021-11,41.9814,30.2199
2021-12,9.2445,37.6748
2022-01,-19.9941,26.3377
2022-02,-14.6082,19.8555
2022-03,-27.0566,25.6713
2022-04,-32.1362,8.6264
2022-05,-39.7256,11.4244
2022-06,-50.2963,-7.8561
2022-07,-35.9845,5.3561
2022-08,-22.8551,-2.0596
2022-09,-41.1244,-16.8748
2022-10,-29.357,-5.9989
2022-11,-40.9802,1.8069
2022-12,-45.4897,-7.9677
2023-01,-26.1421,0.9273
2023-02,-32.4837,-3.6441
2023-03,-37.9944,1.5056
2023-04,-38.6623,3.434
2023-05,-26.9043,3.5891
2023-06,-3.3267,13.4706
2023-07,18.5008,18.4035
2023-08,1.3727,14.8174
2023-09,-29.6742,5.9304
2023-10,-31.3617,1.7633
2023-11,-28.0933,15.8031
2023-12,-8.3798,23.0554
2024-01,-19.3815,25.1943
2024-02,-23.3269,33.9413
2024-03,-30.7614,39.3854
2024-04,-35.9979,30.6607
2024-05,-24.7393,39.2953
2024-06,-16.8441,45.4452
2024-07,-8.9645,46.8801
2024-08,3.2088,46.682
2024-09,59.5243,50.2414
2024-10,78.3806,47.3656
2024-11,292.4737,53.1906
2024-12,234.8542,46.2702
2025-01,238.8629,47.3607
2025-02,195.0285,43.9097
2025-03,169.4232,34.164
2025-04,160.9371,14.6451
