Date,rate_SEDG_5D,rate_VOO_20D
2015-03,0.0,0.5552
2015-04,2.6603,1.3026
2015-05,49.9941,2.1165
2015-06,34.5823,-0.161
2015-07,11.6033,1.7647
2015-08,-10.6938,-4.434
2015-09,-17.2092,-6.1849
2015-10,-32.3355,2.0561
2015-11,-25.8278,2.2365
2015-12,9.6518,0.4169
2016-01,8.9192,-3.9362
2016-02,-6.4138,-3.8342
2016-03,-4.3347,2.7871
2016-04,2.1967,2.9608
2016-05,-16.7745,4.5308
2016-06,-24.253,4.6413
2016-07,-29.6334,8.2304
2016-08,-31.8295,8.0085
2016-09,-29.4893,7.6457
2016-10,-42.8228,5.4488
2016-11,-43.0559,9.0847
2016-12,-44.5406,10.9888
2017-01,-40.7665,12.4453
2017-02,-31.3558,16.238
2017-03,-25.4998,15.7908
2017-04,-21.9274,16.4298
2017-05,-9.5432,17.5007
2017-06,-2.6263,17.6556
2017-07,11.5265,19.4731
2017-08,28.8999,19.2334
2017-09,36.305,21.0734
2017-10,55.5217,23.2472
2017-11,70.4966,26.2935
2017-12,73.6135,27.1948
2018-01,64.0489,33.4378
2018-02,117.5659,27.7628
2018-03,125.2758,24.0078
2018-04,122.2722,23.8463
2018-05,132.1102,26.233
2018-06,96.4588,26.5462
2018-07,115.7346,30.3403
2018-08,91.7181,33.7867
2018-09,48.8927,33.8252
2018-10,51.9268,24.2591
2018-11,51.4451,26.0452
2018-12,35.5061,14.5208
2019-01,67.9648,23.1832
2019-02,60.7812,26.6902
2019-03,42.4913,28.561
2019-04,66.3983,33.1258
2019-05,99.7046,24.3119
2019-06,130.3689,32.3125
2019-07,138.0555,33.6329
2019-08,195.7377,30.92
2019-09,198.502,32.949
2019-10,199.287,35.2464
2019-11,184.3105,39.4853
2019-12,227.6021,42.9218
2020-01,233.1059,42.1816
2020-02,319.381,30.1215
2020-03,230.6455,16.0829
2020-04,332.6016,30.5976
2020-05,443.5684,36.2905
2020-06,424.843,38.2287
2020-07,553.8264,45.6706
2020-08,715.0935,55.0269
2020-09,767.1403,48.5204
2020-10,825.3819,44.0991
2020-11,885.4952,58.9678
2020-12,1017.0277,64.0249
2021-01,896.3776,61.4959
2021-02,917.9924,65.0276
2021-03,868.974,71.583
2021-04,777.7988,79.6065
2021-05,749.4059,79.7696
2021-06,799.4699,82.7751
2021-07,734.8912,86.1539
2021-08,821.9759,90.5098
2021-09,734.4545,80.6408
2021-10,1003.5359,92.2104
2021-11,908.4826,89.7092
2021-12,754.1477,97.1641
2022-01,617.5842,85.8271
2022-02,852.3655,79.3449
2022-03,851.1328,85.1607
2022-04,631.5078,68.1157
2022-05,618.0222,70.9137
2022-06,560.9165,51.6333
2022-07,761.3193,64.8454
2022-08,553.8593,57.4298
2022-09,479.8754,42.6145
2022-10,517.7612,53.4904
2022-11,695.4003,61.2962
2022-12,646.867,51.5216
2023-01,733.6716,60.4166
2023-02,722.9454,55.8452
2023-03,679.7112,60.9949
2023-04,626.285,62.9233
2023-05,617.9739,63.0784
2023-06,572.4835,72.96
2023-07,498.4697,77.8929
2023-08,300.0054,74.3067
2023-09,216.3769,65.4197
2023-10,84.3922,61.2526
2023-11,91.9457,75.2925
2023-12,125.268,82.5447
2024-01,59.2334,84.6836
2024-02,60.1675,93.4307
2024-03,68.5675,98.8748
2024-04,40.8867,90.1501
2024-05,17.7002,98.7846
2024-06,-39.3737,104.9345
2024-07,-30.4947,106.3694
2024-08,-41.1198,106.1714
2024-09,-44.1616,109.7307
2024-10,-57.7684,106.8549
2024-11,-60.5712,112.68
2024-12,-65.6303,105.7595
2025-01,-64.8417,106.8501
2025-02,-57.6341,103.399
2025-03,-62.9617,93.6533
2025-04,-65.027,74.1344
