Date,rate_MSFT_5D,rate_VOO_20D
2015-01,-14.625,-3.5197
2015-02,-3.8235,1.8044
2015-03,-10.0282,-0.4337
2015-04,9.4171,0.3137
2015-05,4.4882,1.1277
2015-06,-1.3321,-1.1499
2015-07,3.6048,0.7758
2015-08,-3.242,-5.4229
2015-09,-1.2646,-7.1738
2015-10,17.3885,1.0672
2015-11,20.3609,1.2476
2015-12,21.0979,-0.572
2016-01,18.7818,-4.925
2016-02,9.3523,-4.8231
2016-03,17.7958,1.7982
2016-04,5.3596,1.9719
2016-05,12.2112,3.5419
2016-06,7.7134,3.6524
2016-07,18.8397,7.2416
2016-08,20.2932,7.0197
2016-09,19.6007,6.6568
2016-10,23.4879,4.4599
2016-11,24.0235,8.0958
2016-12,26.7676,9.9999
2017-01,30.6947,11.4564
2017-02,29.0355,15.2492
2017-03,31.6656,14.8019
2017-04,35.7205,15.441
2017-05,37.9606,16.5118
2017-06,34.9262,16.6668
2017-07,41.0342,18.4843
2017-08,44.4633,18.2445
2017-09,42.6374,20.0845
2017-10,57.8206,22.2583
2017-11,58.8203,25.3046
2017-12,59.7284,26.2059
2018-01,75.5563,32.449
2018-02,65.4997,26.7739
2018-03,59.5087,23.0189
2018-04,61.8958,22.8575
2018-05,70.2286,25.2441
2018-06,68.1503,25.5573
2018-07,79.1229,29.3514
2018-08,88.3884,32.7978
2018-09,89.8535,32.8363
2018-10,75.495,23.2702
2018-11,81.3173,25.0563
2018-12,64.5446,13.5319
2019-01,67.8281,22.1943
2019-02,79.3105,25.7013
2019-03,87.1547,27.5721
2019-04,105.2986,32.1369
2019-05,93.3199,23.323
2019-06,107.4222,31.3236
2019-07,108.9477,32.644
2019-08,110.0994,29.9311
2019-09,109.9799,31.9602
2019-10,114.5925,34.2575
2019-11,125.3092,38.4965
2019-12,132.5173,41.933
2020-01,148.634,41.1927
2020-02,134.9867,29.1327
2020-03,128.0602,15.0941
2020-04,156.9623,29.6087
2020-05,161.0776,35.3017
2020-06,187.1982,37.2398
2020-07,186.5258,44.6817
2020-08,212.9213,54.038
2020-09,188.992,47.5315
2020-10,175.6143,43.1102
2020-11,189.4254,57.9789
2020-12,197.9913,63.0361
2021-01,207.9523,60.507
2021-02,206.3895,64.0387
2021-03,208.0617,70.5941
2021-04,226.5657,78.6176
2021-05,221.1863,78.7807
2021-06,245.4387,81.7862
2021-07,260.0625,85.165
2021-08,278.7633,89.5209
2021-09,250.6411,79.652
2021-10,308.7275,91.2215
2021-11,304.5124,88.7203
2021-12,307.8277,96.1753
2022-01,273.8081,84.8382
2022-02,256.8792,78.356
2022-03,265.241,84.1718
2022-04,226.1009,67.1269
2022-05,216.8681,69.9248
2022-06,185.5075,50.6444
2022-07,209.8569,63.8565
2022-08,187.117,56.4409
2022-09,154.1173,41.6257
2022-10,151.5008,52.5015
2022-11,158.4522,60.3073
2022-12,141.4007,50.5328
2023-01,147.9447,59.4277
2023-02,148.6466,54.8564
2023-03,185.5927,60.006
2023-04,202.3989,61.9344
2023-05,221.7734,62.0896
2023-06,231.4265,71.9711
2023-07,224.716,76.904
2023-08,215.4256,73.3179
2023-09,201.9053,64.4308
2023-10,221.2189,60.2637
2023-11,258.3741,74.3036
2023-12,253.3145,81.5558
2024-01,271.0687,83.6948
2024-02,284.1975,92.4418
2024-03,288.1543,97.8859
2024-04,269.5463,89.1612
2024-05,277.0354,97.7957
2024-06,303.2847,103.9456
2024-07,275.0339,105.3805
2024-08,272.2737,105.1825
2024-09,281.6392,108.7418
2024-10,258.1661,105.866
2024-11,262.1841,111.6911
2024-12,264.226,104.7706
2025-01,251.9432,105.8612
2025-02,230.4852,102.4101
2025-03,210.7821,92.6645
2025-04,194.6443,73.1455
