Date,rate_SBUX_5D,rate_VOO_20D
2015-01,5.1964,-3.5197
2015-02,10.5164,1.8044
2015-03,8.0449,-0.4337
2015-04,10.4665,0.3137
2015-05,13.9497,1.1277
2015-06,15.3742,-1.1499
2015-07,21.9793,0.7758
2015-08,13.1049,-5.4229
2015-09,15.9918,-7.1738
2015-10,25.7954,1.0672
2015-11,21.7148,1.2476
2015-12,17.3833,-0.572
2016-01,17.7116,-4.925
2016-02,11.8932,-4.8231
2016-03,13.7646,1.7982
2016-04,6.2468,1.9719
2016-05,3.799,3.5419
2016-06,7.784,3.6524
2016-07,9.1286,7.2416
2016-08,5.6688,7.0197
2016-09,1.4642,6.6568
2016-10,-0.6008,4.4599
2016-11,9.1207,8.0958
2016-12,4.194,9.9999
2017-01,3.3006,11.4564
2017-02,6.6394,15.2492
2017-03,9.2087,14.8019
2017-04,12.0135,15.441
2017-05,18.6706,16.5118
2017-06,8.2174,16.6668
2017-07,-0.0874,18.4843
2017-08,1.9452,18.2445
2017-09,-0.266,20.0845
2017-10,1.7485,22.2583
2017-11,7.7608,25.3046
2017-12,6.7689,26.2059
2018-01,5.336,32.449
2018-02,6.2927,26.7739
2018-03,7.6311,23.0189
2018-04,6.7865,22.8575
2018-05,5.4925,25.2441
2018-06,-9.1961,25.5573
2018-07,-2.4678,29.3514
2018-08,0.2626,32.7978
2018-09,6.5972,32.8363
2018-10,9.0404,23.2702
2018-11,25.0581,25.0563
2018-12,20.2888,13.5319
2019-01,26.8518,22.1943
2019-02,30.9236,25.7013
2019-03,37.8283,27.5721
2019-04,43.2729,32.1369
2019-05,40.1785,23.323
2019-06,53.4738,31.3236
2019-07,72.1715,32.644
2019-08,74.9172,29.9311
2019-09,59.1462,31.9602
2019-10,51.2962,34.2575
2019-11,52.7678,38.4965
2019-12,56.3369,41.933
2020-01,49.9181,41.1927
2020-02,38.4162,29.1327
2020-03,7.0139,15.0941
2020-04,24.8515,29.6087
2020-05,27.2859,35.3017
2020-06,19.7125,37.2398
2020-07,24.1423,44.6817
2020-08,37.3931,54.038
2020-09,39.1749,47.5315
2020-10,40.2505,43.1102
2020-11,58.1265,57.9789
2020-12,71.6367,63.0361
2021-01,54.5828,60.507
2021-02,72.1205,64.0387
2021-03,73.1433,70.5941
2021-04,80.4088,78.6176
2021-05,79.1318,78.7807
2021-06,74.893,81.7862
2021-07,88.8884,85.165
2021-08,82.4355,89.5209
2021-09,70.3398,79.652
2021-10,62.9616,91.2215
2021-11,68.2637,88.7203
2021-12,78.6065,96.1753
2022-01,49.3736,84.8382
2022-02,39.6221,78.356
2022-03,37.9443,84.1718
2022-04,12.8278,67.1269
2022-05,16.0648,69.9248
2022-06,7.1532,50.6444
2022-07,18.7815,63.8565
2022-08,18.2499,56.4409
2022-09,17.8304,41.6257
2022-10,16.5428,52.5015
2022-11,38.0502,60.3073
2022-12,33.6007,50.5328
2023-01,46.5485,59.4277
2023-02,37.3192,54.8564
2023-03,39.69,60.006
2023-04,52.8668,61.9344
2023-05,30.9531,62.0896
2023-06,32.5096,71.9711
2023-07,35.5398,76.904
2023-08,30.3956,73.3179
2023-09,21.8609,64.4308
2023-10,22.9289,60.2637
2023-11,32.7514,74.3036
2023-12,28.0945,81.5558
2024-01,23.9038,83.6948
2024-02,26.925,92.4418
2024-03,22.0173,97.8859
2024-04,17.9528,89.1612
2024-05,7.6989,97.7957
2024-06,4.4276,103.9456
2024-07,4.505,105.3805
2024-08,27.5373,105.1825
2024-09,31.2078,108.7418
2024-10,29.4739,105.866
2024-11,36.3472,111.6911
2024-12,21.1691,104.7706
2025-01,42.759,105.8612
2025-02,51.4211,102.4101
2025-03,41.6883,92.6645
2025-04,14.9133,73.1455
